step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share
10000,3207,1.368,0.042,8.94,237672,225046,1135,11,9779,5126,1587737.2,365.6,0.447,0.093,0.096,0.206,0.158,754,6.83,4.42,0.06,0.79,0.02,0.26,0.45,1.96,6.30,3.71,0.00,0.09,0.003,0.036,415,0.117,0.845,0.001,0.000,0.154,214338,156740,10,0.481,0.175,0.150,2365189,0.054,0.114,0.013,159.74,76983,331,0.071,0.455,0.001,3749606,1.02,18.50,0.001,0.010,0.002
20000,3268,1.383,0.045,9.75,265905,251108,2455,59,12222,7986,1539817.1,1425.3,0.593,0.082,0.080,0.117,0.129,607,6.33,3.97,0.07,0.86,0.08,0.43,0.31,1.98,5.86,3.19,0.00,0.04,0.011,0.060,454,0.065,0.874,0.001,0.000,0.125,247387,209057,15,0.426,0.124,0.090,3607578,0.047,0.109,0.011,161.03,85375,371,0.178,0.373,0.000,2467781,1.03,19.27,0.000,0.010,0.002
30000,3322,1.352,0.043,9.49,260337,245884,2495,39,11865,8775,1577971.8,1606.0,0.557,0.080,0.084,0.133,0.146,598,6.26,4.09,0.08,1.10,0.09,1.21,0.21,1.55,5.88,3.36,0.00,0.06,0.009,0.061,414,0.075,0.858,0.003,0.000,0.140,241913,202793,23,0.459,0.070,0.065,2982505,0.064,0.110,0.014,161.61,88024,211,0.183,0.462,0.000,2678123,1.03,19.25,0.000,0.014,0.002
40000,3330,1.381,0.043,9.35,296047,279985,3158,60,12836,7361,1575610.6,1290.9,0.638,0.068,0.068,0.111,0.116,550,5.90,4.11,0.07,1.00,0.08,0.80,0.25,1.80,5.50,3.11,0.00,0.00,0.009,0.054,376,0.117,0.872,0.000,0.000,0.128,279687,248953,19,0.467,0.009,0.060,2274310,0.059,0.104,0.010,161.73,98614,393,0.175,0.383,0.000,2324270,1.02,19.81,0.001,0.004,0.000
50000,3371,1.374,0.039,9.77,277042,261134,3345,3,12519,275,1560090.9,36.4,0.611,0.060,0.062,0.133,0.134,530,5.80,3.63,0.06,1.20,0.10,0.70,0.19,1.23,5.45,2.99,0.00,0.06,0.013,0.081,388,0.130,0.871,0.001,0.000,0.129,259981,226431,15,0.430,0.041,0.066,2250798,0.103,0.094,0.008,161.78,93986,166,0.132,0.667,0.000,2232232,1.02,19.86,0.000,0.001,0.001
60000,3391,1.343,0.033,9.88,266820,251889,3026,3,11882,263,1554992.1,22.3,0.570,0.069,0.069,0.148,0.144,586,5.83,3.85,0.07,0.81,0.12,0.71,0.28,1.90,5.36,3.00,0.00,0.00,0.016,0.078,375,0.123,0.879,0.002,0.000,0.120,250262,211280,21,0.407,0.076,0.068,2267518,0.114,0.088,0.007,162.10,91991,1213,0.085,0.333,0.000,2507038,1.03,19.98,0.000,0.003,0.000
70000,3308,1.381,0.030,9.48,272533,256193,3257,35,13131,1997,1543550.1,423.5,0.607,0.060,0.064,0.139,0.130,579,6.09,3.84,0.05,0.77,0.15,0.76,0.18,1.51,5.70,3.13,0.01,0.13,0.018,0.074,433,0.097,0.881,0.003,0.000,0.116,257893,222811,16,0.440,0.029,0.042,1729112,0.121,0.084,0.006,161.98,92743,827,0.212,0.371,0.000,2256191,1.01,19.69,0.000,0.041,0.004
80000,3446,1.356,0.029,9.39,261531,245777,3227,6,12383,875,1552891.4,191.2,0.564,0.080,0.078,0.140,0.137,655,5.37,2.85,0.03,0.68,0.07,0.57,0.09,0.83,5.18,2.49,0.00,0.03,0.010,0.061,304,0.172,0.886,0.000,0.000,0.114,249385,214367,16,0.336,0.003,0.025,1140640,0.119,0.079,0.005,162.16,85904,393,0.219,0.333,0.000,2847268,1.01,20.38,0.000,0.005,0.000
90000,3378,1.343,0.029,9.88,265476,249260,3514,1,12769,266,1568152.6,55.4,0.566,0.081,0.076,0.141,0.136,644,5.62,2.96,0.02,0.36,0.10,0.72,0.10,1.20,5.41,2.56,0.00,0.00,0.013,0.071,333,0.128,0.895,0.000,0.000,0.105,251458,217304,16,0.292,0.163,0.025,867361,0.092,0.081,0.006,162.16,87839,6,0.208,1.000,0.000,2568218,1.01,20.03,0.000,0.001,0.000
100000,3370,1.351,0.031,9.23,274131,257984,3363,1,12791,275,1535841.4,51.8,0.590,0.075,0.069,0.136,0.130,610,5.61,3.20,0.03,0.62,0.07,0.76,0.09,0.92,5.42,2.78,0.00,0.00,0.008,0.055,305,0.136,0.902,0.001,0.000,0.097,260196,227763,12,0.449,0.036,0.025,874572,0.081,0.084,0.006,162.19,88662,354,0.188,0.000,0.000,2406123,1.01,19.96,0.000,0.001,0.000
110000,3471,1.321,0.027,9.17,277757,261860,3015,5,12776,292,1554248.1,69.8,0.595,0.077,0.072,0.131,0.126,640,5.49,3.35,0.05,0.82,0.04,0.38,0.14,1.33,5.25,2.79,0.00,0.03,0.006,0.051,326,0.077,0.860,0.001,0.000,0.139,263367,227976,11,0.398,0.034,0.030,940850,0.078,0.077,0.006,162.07,88424,1028,0.239,0.000,0.000,2365395,1.02,20.06,0.000,0.003,0.000
120000,3537,1.322,0.026,9.21,303462,287053,3491,15,12837,1012,1554292.0,244.3,0.645,0.064,0.059,0.120,0.112,594,5.22,2.72,0.01,0.21,0.04,0.46,0.14,1.24,5.04,2.45,0.00,0.00,0.005,0.045,318,0.116,0.836,0.000,0.000,0.164,289052,255066,13,0.455,0.097,0.027,1087298,0.090,0.079,0.006,162.04,98953,861,0.241,0.267,0.000,1831580,1.00,20.45,0.000,0.004,0.000
130000,3377,1.338,0.028,9.22,318351,301919,3452,4,13136,429,1545597.4,93.6,0.667,0.060,0.056,0.112,0.105,551,5.78,4.01,0.06,0.82,0.09,1.04,0.13,1.35,5.50,3.26,0.00,0.11,0.006,0.057,356,0.086,0.830,0.000,0.000,0.170,306687,275356,13,0.316,0.043,0.024,876407,0.089,0.081,0.006,162.22,104056,1806,0.218,0.250,0.000,1975491,1.02,19.91,0.000,0.004,0.001
140000,3499,1.328,0.029,9.10,295992,279642,3463,0,12765,248,1500350.4,45.0,0.639,0.069,0.064,0.115,0.113,613,5.43,3.60,0.06,0.80,0.05,0.79,0.12,1.73,5.20,2.96,0.00,0.05,0.005,0.050,343,0.094,0.854,0.001,0.000,0.145,283151,251668,14,0.426,0.022,0.025,1109035,0.094,0.086,0.007,162.11,95013,0,0.181,0.000,0.000,2184339,1.02,20.53,0.000,0.003,0.001
