step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown,deaths_wound,kill_intake,flesh_intake,blocks_kept
1000,11367,8857,126570,779680,748214,641532,11578,55132,1851,0,245512,4943483,182975.720,72002.993,0.2551,68089.213,0.243,0.279,0.251,0.228,0.636,0.332,548,0.0252,0.6818,0.100,14.9,47.4,87.3,45.43,4.17,5.55,2.72,32.99,7.70,1.050,0.118,0.053,0.054,23.730,0.681,0.0023,145,451,1816,11593,63,0,0.000,5927,3546,2979,4842,776,3647,6944,0.00,0.94,12152,34.4770,66711,9430,539487,2795.0,-0.0,465728,57.700,2631002.543,2.04e-14,0.00093,30.00,230268,122.472,2.272,119.246,0.954,122.473,8818,800,1749,0.4147,0.835,1.028,1.280,1.046,0.909,1.131,37320.520,12397.727,177840.781,37908.238,35315.915,2603.565,724.416,585.799,0.695,0.569,0.523,0.880,0.724,0.664,7061,55799,0.7069,0.7611,0.6433,0.9999,0.0529,0.0509,0.5488,0.7437,0.8275,0.1043,0.0444,0.0355,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,17701,0.9998,0.6896,0.7190,0.9989,0.0529,0.0509,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0928,5.0941,5.0637,0.1180,0.2041,0.1798,0.368,0.456,0.369,0.436,8696,0.1685,0.0093,0.0117,0.00234,0.00165,0.00150,23.38,26.65,27.70,61.6741,0.0211,72.4017,35.6502,22.0497,1080975,1531581,0.6846,0.0066,1739.4,61.6741,21.62,0,0,0,0,0,0,0,3913.779,0.000,0.9538
2000,10493,2978,48776,102428,91564,52701,951,19313,2806,0,263661,2405399,32022.297,14900.533,0.2647,10538.151,0.131,0.574,0.139,0.156,0.528,0.333,2718,0.0790,0.6678,0.083,10.8,34.3,71.3,35.49,1.98,7.12,1.40,25.00,7.44,1.062,0.214,0.047,0.050,10.536,0.389,0.0027,119,1028,1052,23869,45,0,0.000,5377,780,2675,7038,406,789,9298,0.00,8.61,14288,14.7557,66811,11184,498784,2279.8,0.0,523543,21.552,2631002.543,4.78e-15,0.00068,25.34,32823,30.661,2.113,28.001,0.547,30.662,2405,3362,4726,0.3959,0.907,1.027,1.253,1.114,0.945,1.119,13796.785,11722.044,9546.206,13757.346,19256.896,1660.180,1852.112,850.089,0.564,0.471,0.567,0.530,0.484,0.552,12827,18594,0.6414,0.5093,0.5280,0.9997,0.0402,0.0537,0.5623,0.9563,0.8831,0.1222,0.0310,0.0224,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,7257,0.9990,0.8285,0.7158,0.9992,0.0402,0.0537,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2352,5.3692,5.2368,0.0617,0.1492,0.1303,0.182,0.272,0.202,0.213,1680,0.1041,0.0045,0.0025,0.00243,0.00103,0.00076,26.95,27.01,26.66,199.3921,0.0340,33.1947,13.5454,8.0069,1094323,1528001,1.4299,0.0517,3014.0,199.3921,26.00,0,0,0,0,0,0,0,4362.382,0.000,0.9221
3000,8561,2695,62145,119563,105742,56189,1229,22586,3906,0,337851,3449398,36279.001,15978.798,0.2482,10737.210,0.071,0.758,0.076,0.095,0.528,0.329,2984,0.1393,0.7166,0.064,12.9,36.7,71.6,34.02,2.12,9.10,0.49,22.31,7.17,1.122,0.247,0.126,0.135,9.841,0.380,0.0029,94,375,995,29398,137,0,0.000,4831,27,1521,7013,264,1300,6997,1.75,11.44,16916,19.0362,66735,11190,466264,1682.6,-0.0,555796,17.062,2631002.543,1.17e-14,0.00104,14.43,38148,26.307,1.905,24.091,0.311,26.308,3542,2239,2780,0.3574,0.921,1.045,1.474,1.204,0.959,1.149,14313.087,12596.163,12814.799,14236.669,19964.743,1430.094,2323.410,1488.083,0.581,0.478,0.553,0.532,0.411,0.504,13927,32267,0.7391,0.4604,0.4334,0.9994,0.0344,0.0529,0.5990,1.0504,0.9303,0.1069,0.0158,0.0150,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,4151,0.9994,0.8621,0.7948,0.9987,0.0344,0.0529,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3597,5.2375,5.1511,0.0586,0.0669,0.0575,0.061,0.109,0.078,0.094,1167,0.1009,0.0053,0.0031,0.00237,0.00092,0.00083,22.06,27.08,27.22,1125.7973,0.0559,34.5112,5.5463,11.5159,1095994,1528267,1.9384,0.1056,3212.4,1125.7973,22.38,0,0,0,0,0,0,0,5241.588,0.000,0.8936
4000,8061,2569,58020,125874,113482,66492,1362,17730,3209,7,304000,3256849,37470.664,16304.007,0.2669,11233.728,0.067,0.783,0.088,0.061,0.549,0.325,1928,0.1154,0.6951,0.063,13.9,35.8,73.1,33.79,1.82,9.41,0.59,21.97,7.35,1.135,0.239,0.131,0.141,9.923,0.403,0.0026,87,367,1045,20830,189,0,0.000,4538,37,1557,6467,192,836,7033,3.61,12.43,16057,17.4290,66778,12375,440668,2058.3,-0.0,588432,14.509,2631002.543,9.56e-15,0.00039,37.93,39511,24.792,1.880,22.577,0.335,24.792,2359,2202,3500,0.3182,0.953,1.051,1.474,1.265,0.966,1.154,12959.418,12587.678,16896.654,12860.803,18946.934,2008.002,1552.232,1510.045,0.618,0.525,0.512,0.628,0.436,0.543,17016,34309,0.7267,0.2688,0.3287,0.9989,0.0318,0.0698,0.6027,1.1234,0.9311,0.1250,0.0110,0.0140,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,2059,0.9991,0.9057,0.8136,0.9981,0.0320,0.0698,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3183,5.3836,5.2480,0.0585,0.0903,0.0825,0.113,0.142,0.072,0.120,1206,0.0926,0.0049,0.0031,0.00228,0.00088,0.00109,26.28,26.95,27.59,1451.8651,0.0676,32.2194,6.5764,7.9328,1098741,1525898,2.0292,0.1255,3135.3,1451.8651,25.42,0,0,0,0,0,0,0,5070.279,0.000,0.8986
5000,7457,2846,52582,110872,100764,57373,917,15980,1832,6,234196,3077706,37193.850,14206.658,0.2601,10399.785,0.054,0.803,0.077,0.067,0.564,0.327,967,0.0963,0.6715,0.060,16.2,40.5,75.9,36.10,2.43,9.60,0.57,23.50,7.33,1.171,0.225,0.181,0.201,11.009,0.382,0.0026,88,366,1218,14476,300,16,0.252,4392,63,1497,5897,337,1482,5638,4.00,11.52,16133,18.5591,66757,13656,416423,1823.0,0.0,616815,13.432,2631002.543,8.85e-16,0.00099,12.68,36388,29.936,2.276,27.375,0.286,29.937,3474,1629,2354,0.3163,0.932,1.085,1.552,1.267,0.964,1.173,12649.782,12708.191,16058.629,12555.588,18979.418,1700.144,946.137,1160.591,0.587,0.563,0.546,0.586,0.438,0.542,20354,29948,0.6728,0.2831,0.3326,0.9980,0.0378,0.0662,0.5939,1.0906,0.9218,0.1127,0.0115,0.0163,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,4551,0.9991,0.8930,0.8273,0.9973,0.0378,0.0662,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2698,5.1625,5.1005,0.0612,0.0704,0.0583,0.081,0.108,0.067,0.085,869,0.0642,0.0052,0.0030,0.00235,0.00081,0.00090,25.22,26.81,27.62,1484.7633,0.0627,31.9994,5.1491,8.2829,1099636,1524856,1.4389,0.0920,3073.9,1484.7633,23.03,0,0,0,0,0,0,0,3806.873,0.000,0.8878
6000,10366,3359,53656,119236,108658,64540,1040,15300,1603,8,246127,3008483,39138.506,14140.054,0.2732,9937.345,0.047,0.778,0.082,0.093,0.556,0.333,1242,0.0690,0.6562,0.067,18.0,42.6,77.7,38.69,2.36,9.11,0.52,26.70,7.31,1.164,0.202,0.173,0.187,10.103,0.351,0.0024,83,401,1381,13755,338,17,0.285,5551,192,1519,8655,819,1634,7913,3.75,11.11,15789,19.0779,66767,13794,391338,4045.1,-0.0,646635,13.777,2631002.543,4.25e-15,0.00002,23.20,39006,32.935,2.363,30.011,0.560,32.936,4235,2496,3635,0.3248,0.922,1.073,1.555,1.265,0.958,1.188,12743.432,13643.890,16797.366,12614.841,19663.645,2157.307,774.119,1271.282,0.587,0.538,0.539,0.582,0.470,0.578,24368,29650,0.5330,0.3058,0.3008,0.9987,0.0378,0.0690,0.5687,0.9413,0.8735,0.1049,0.0150,0.0263,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,3234,0.9988,0.7842,0.7515,0.9982,0.0378,0.0692,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1743,5.2839,5.3011,0.0512,0.0705,0.0601,0.122,0.079,0.078,0.105,952,0.0547,0.0050,0.0035,0.00224,0.00076,0.00092,23.75,27.40,27.76,1605.0244,0.0726,32.7738,6.4172,7.3603,1100488,1521790,0.7572,0.0291,2920.9,1605.0244,19.40,0,0,0,0,0,0,0,4202.708,0.000,0.9056
7000,8060,2443,46194,97043,87262,50105,744,14693,1224,14,224889,2696047,34455.412,13853.165,0.2854,9842.033,0.047,0.810,0.070,0.072,0.540,0.350,785,0.0807,0.6360,0.068,15.6,40.5,77.6,35.01,2.34,9.22,0.27,23.18,7.15,1.217,0.221,0.174,0.188,9.504,0.329,0.0026,88,468,1239,11891,289,21,0.188,4436,842,948,6270,726,1255,6079,6.00,13.10,12896,17.9064,66837,15610,366599,1786.7,-0.0,681321,13.669,2631002.543,4.25e-15,0.00037,24.47,33567,29.644,2.367,26.952,0.325,29.646,3841,1945,2274,0.2994,0.947,1.118,1.632,1.350,0.963,1.210,9344.725,9694.097,20411.324,9246.194,14639.927,2424.364,605.222,981.545,0.569,0.504,0.535,0.577,0.437,0.516,29428,29010,0.6021,0.1848,0.2300,0.9994,0.0453,0.0773,0.5933,1.0871,0.9501,0.1042,0.0099,0.0261,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,2524,0.9992,0.9379,0.8543,0.9984,0.0453,0.0774,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0924,5.3083,5.1310,0.0489,0.0325,0.0292,0.040,0.058,0.042,0.048,1035,0.0553,0.0038,0.0041,0.00232,0.00072,0.00081,27.23,27.61,27.68,1540.5804,0.0790,24.3417,7.2436,6.4250,1102366,1522248,0.5869,0.0142,2861.4,1540.5804,21.78,0,0,0,0,0,0,0,4011.131,0.000,0.9035
8000,7177,2376,53209,107778,97545,53782,787,13514,1530,4,235282,2706339,35520.117,13170.614,0.2585,9369.775,0.046,0.837,0.055,0.061,0.540,0.348,827,0.0929,0.6443,0.052,18.7,42.8,72.7,35.91,2.15,9.22,0.52,24.03,7.10,1.210,0.215,0.157,0.167,9.431,0.351,0.0024,71,365,832,11537,122,20,0.240,3942,467,658,6052,900,701,5576,5.00,12.46,14584,17.3941,66738,14099,344472,2817.5,-0.0,706497,12.009,2631002.543,8.50e-15,0.00035,7.77,37100,27.963,2.353,25.327,0.282,27.963,2780,1654,2743,0.2636,0.953,1.138,1.607,1.354,0.954,1.218,12110.309,13039.162,13939.729,11991.322,18958.841,1970.872,687.532,1142.435,0.549,0.532,0.537,0.476,0.468,0.542,31364,35231,0.6074,0.2104,0.2235,0.9994,0.0443,0.0659,0.5961,1.0202,0.9193,0.1189,0.0125,0.0179,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,2693,0.9989,0.8425,0.8162,0.9984,0.0443,0.0659,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0930,5.4967,5.2868,0.0467,0.0740,0.0690,0.096,0.132,0.097,0.083,1120,0.0653,0.0039,0.0053,0.00221,0.00082,0.00099,24.14,27.78,28.11,1459.5011,0.0746,31.3748,6.0551,5.9534,1104809,1520539,1.0479,0.1058,2893.9,1459.5011,16.84,0,0,0,0,0,0,0,3800.839,0.000,0.9075
9000,5885,2096,39741,82799,74758,42508,550,9833,1138,1,183046,2077575,28992.748,10068.764,0.2686,6995.842,0.052,0.858,0.047,0.043,0.524,0.364,737,0.0900,0.6348,0.069,18.1,45.9,76.9,36.94,2.37,9.41,0.32,24.85,7.08,1.223,0.212,0.209,0.216,10.434,0.379,0.0023,69,396,727,9341,157,18,0.402,3109,14,859,5012,144,1194,4547,5.25,12.11,15591,18.6588,66723,16786,326032,1436.0,-0.0,728121,9.629,2631002.543,1.36e-14,0.00851,30.68,28655,21.684,2.234,19.266,0.184,21.685,2783,1123,1979,0.2488,0.958,1.149,1.674,1.315,0.966,1.242,7579.523,9949.337,15175.995,7463.656,13348.939,1596.134,555.974,920.814,0.562,0.497,0.494,0.589,0.430,0.503,34617,28107,0.6210,0.1470,0.2691,0.9991,0.0417,0.0807,0.5881,1.1224,0.8338,0.1077,0.0050,0.0242,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,1051,0.9996,0.9373,0.8048,0.9983,0.0417,0.0807,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2100,5.6522,5.1805,0.0506,0.0437,0.0396,0.052,0.078,0.056,0.047,903,0.0766,0.0039,0.0047,0.00228,0.00062,0.00091,25.68,26.68,27.66,1415.4351,0.0580,21.2688,5.0328,4.5961,1105733,1520252,1.9032,0.1903,2966.5,1415.4351,18.95,0,0,0,0,0,0,0,3072.922,0.000,0.9053
10000,7624,2383,54578,123926,113630,68484,864,12461,2155,6,276922,2742504,36637.522,14894.965,0.2597,10399.707,0.054,0.848,0.050,0.047,0.551,0.345,1147,0.0807,0.6508,0.053,17.5,42.3,73.9,33.76,1.87,8.23,0.33,23.33,6.83,1.247,0.203,0.175,0.184,8.975,0.323,0.0023,67,336,882,13700,197,17,0.193,4147,31,1142,6451,267,1079,6278,5.25,11.78,20084,19.9265,66739,16240,308834,3158.2,-0.0,740780,10.664,2631002.543,5.66e-15,0.00366,11.37,42094,28.009,2.268,25.418,0.324,28.039,2912,1373,3339,0.2021,0.978,1.162,1.647,1.350,0.967,1.272,10835.666,17786.683,10856.771,10749.085,25431.373,1560.124,1216.568,1718.566,0.544,0.503,0.589,0.430,0.503,0.619,32909,33363,0.6458,0.1358,0.2308,0.9999,0.0315,0.0678,0.6211,1.1361,0.8501,0.1179,0.0051,0.0160,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,3900,0.9993,0.9096,0.6858,0.9986,0.0315,0.0678,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1458,5.5273,4.9408,0.0483,0.0488,0.0422,0.061,0.081,0.063,0.049,954,0.0792,0.0030,0.0026,0.00243,0.00089,0.00122,26.67,26.63,28.19,1519.9686,0.0624,36.7229,5.0308,5.6330,1107437,1517713,2.3536,0.1972,2944.8,1519.9686,19.36,0,0,0,0,0,0,0,4495.258,0.000,0.8904
