step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown,deaths_wound,kill_intake,flesh_intake,blocks_kept
1000,23509,11733,262223,819715,740949,556548,944,65555,293,0,1377445,21856568,175497.792,160426.925,1.1818,58681.116,0.069,0.822,0.039,0.070,0.770,0.164,1060,0.0919,0.7137,0.046,22.1,32.3,48.2,24.35,5.15,8.88,0.08,10.25,5.30,1.167,0.277,0.707,0.714,13.081,0.385,0.0021,80,317,1733,28332,18,0,0.000,13127,7191,6547,9771,1796,7811,13902,1.25,2.91,36540,53.2633,66705,9134,552184,5282.4,-0.0,423141,37.820,2624724.451,8.87e-15,0.00093,30.00,226256,94.790,1.783,91.450,1.557,94.791,18042,841,4626,0.0872,1.003,1.133,1.369,1.150,0.928,1.276,36335.237,24506.080,139300.711,36404.890,58473.308,63374.758,10779.861,27591.191,0.837,0.654,0.645,0.739,0.637,0.577,6817,88109,0.6859,0.5650,0.6562,0.9998,0.0296,0.0518,0.5903,0.7264,0.8376,0.2455,0.0935,0.0952,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,41621,0.9995,0.5292,0.5623,0.9991,0.0296,0.0518,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.9239,6.6319,6.3532,0.0605,0.0151,0.0080,0.009,0.008,0.013,0.009,7370,0.1289,0.0010,0.0024,0.00227,0.00137,0.00124,22.27,27.48,26.93,912.9589,0.1987,94.7197,24.6246,13.1952,1076884,1525058,0.5127,0.0056,950.2,912.9589,21.62,0,0,0,0,0,0,44766,101745.809,89696.873,0.9002
2000,14301,3448,98132,213795,190779,115368,295,36672,81,0,437271,7698816,48211.691,58314.457,1.4741,18028.622,0.058,0.845,0.037,0.061,0.683,0.223,358,0.0880,0.6932,0.047,20.5,33.1,50.6,26.26,3.99,8.15,0.17,13.95,5.54,1.163,0.257,0.545,0.552,6.860,0.289,0.0030,88,596,1209,8915,16,0,0.000,8110,2694,4163,7444,1057,2509,10735,2.50,6.50,23636,27.2200,66802,12634,518422,3708.5,0.0,493987,23.029,2624724.451,1.31e-14,0.00070,25.34,66354,34.774,1.787,32.228,0.759,34.775,7919,2033,4349,0.1781,0.937,1.139,1.421,1.178,0.916,1.253,10418.528,10086.864,39472.910,10402.638,16364.766,30595.848,2983.482,6706.504,0.780,0.473,0.477,0.621,0.425,0.413,14076,40869,0.6031,0.4000,0.4284,1.0000,0.0537,0.0678,0.5929,0.7409,0.8275,0.2141,0.0713,0.0752,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,11651,0.9982,0.4400,0.6167,0.9988,0.0537,0.0678,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.6847,7.0261,6.3868,0.0328,0.0243,0.0170,0.031,0.016,0.031,0.015,5541,0.1143,0.0029,0.0039,0.00243,0.00105,0.00092,27.86,26.77,27.47,1636.8824,0.1130,26.9720,17.4347,5.5946,1091960,1524203,1.1606,0.0517,1099.8,1636.8824,26.00,0,0,0,0,0,0,12526,40285.834,35662.818,0.9228
3000,12022,1831,93537,182093,163791,87973,583,32771,152,0,373972,4848095,38344.232,41128.171,1.1321,14667.367,0.058,0.842,0.043,0.057,0.597,0.286,443,0.0949,0.7122,0.050,10.6,30.1,49.8,24.18,2.57,6.97,0.25,14.39,5.79,1.139,0.250,0.373,0.378,4.802,0.274,0.0037,73,319,731,11532,24,0,0.000,6283,31,1679,10312,228,1322,10472,4.00,10.16,20494,20.6132,66727,14183,491761,2932.0,-0.0,536411,13.256,2624724.451,1.65e-14,0.00166,14.43,60537,26.697,1.756,24.363,0.578,26.697,3992,3543,4487,0.3206,0.931,1.082,1.465,1.180,0.944,1.257,12394.531,11393.381,21349.848,12299.499,19362.252,14949.607,4106.142,7405.054,0.655,0.542,0.548,0.540,0.418,0.466,20904,37427,0.6765,0.3701,0.3567,0.9998,0.0433,0.0563,0.5956,0.9320,0.8815,0.2058,0.0390,0.0570,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,11791,0.9987,0.7956,0.7059,0.9978,0.0433,0.0563,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.7034,6.9130,6.5469,0.0296,0.0512,0.0410,0.049,0.046,0.096,0.027,2147,0.0651,0.0029,0.0033,0.00261,0.00093,0.00091,22.23,28.00,27.85,1720.1935,0.1004,31.9986,7.0929,6.1629,1096899,1522358,1.8294,0.1078,1184.4,1720.1935,22.38,0,0,0,0,0,0,11528,26460.804,23281.824,0.9361
4000,8714,1374,82387,151710,135813,68709,614,29524,198,0,297518,3504728,34711.954,30979.116,1.0326,11777.973,0.064,0.826,0.059,0.051,0.519,0.344,389,0.1284,0.7222,0.061,17.9,32.5,51.5,26.92,3.01,8.72,0.10,15.08,5.69,1.159,0.268,0.433,0.438,4.797,0.282,0.0039,74,285,468,11589,16,0,0.000,4886,47,2173,6494,208,1675,6831,8.00,14.19,22063,20.0387,66769,14165,466562,1810.7,0.0,565016,11.592,2624724.451,7.45e-15,0.00123,37.93,53055,25.363,1.886,23.097,0.380,25.364,3668,2066,2980,0.2801,0.930,1.103,1.501,1.160,0.936,1.313,12839.940,12472.109,13065.719,12696.324,20727.884,9324.790,3041.841,6834.512,0.515,0.538,0.511,0.390,0.458,0.491,23704,36535,0.7307,0.5150,0.4305,0.9997,0.0372,0.0458,0.6009,0.8559,0.8373,0.1796,0.0476,0.0664,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,8262,0.9979,0.6264,0.6201,0.9976,0.0372,0.0458,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.7321,6.7328,6.5179,0.0260,0.0296,0.0272,0.029,0.029,0.057,0.010,1304,0.0656,0.0027,0.0021,0.00264,0.00099,0.00106,26.54,26.38,26.92,1653.9469,0.0996,33.8282,4.7134,6.8785,1098893,1521786,1.9974,0.1277,1336.4,1653.9469,25.42,0,0,0,0,0,0,9872,19201.142,16837.848,0.9403
5000,11254,1696,86298,156619,139780,69582,739,29835,384,0,278746,3513181,35254.459,29363.705,1.0375,11289.256,0.066,0.813,0.065,0.055,0.504,0.357,529,0.1039,0.7373,0.052,12.0,31.5,54.0,27.32,2.26,7.00,0.32,17.74,6.02,1.157,0.227,0.325,0.329,5.020,0.284,0.0038,72,276,428,13900,15,3,0.519,5919,137,2310,8807,390,1921,8943,6.25,13.36,22157,20.4870,66761,15205,446541,3681.7,-0.0,591431,12.062,2624724.451,3.55e-15,0.00049,12.68,55179,25.637,1.809,23.195,0.634,25.638,4202,2567,4485,0.2989,0.917,1.083,1.466,1.150,0.949,1.282,12910.017,11685.038,14538.347,12800.848,19204.520,8907.869,3209.383,5957.196,0.475,0.528,0.512,0.466,0.407,0.462,29772,31634,0.5398,0.3138,0.3292,0.9996,0.0334,0.0500,0.6296,0.8658,0.8619,0.1325,0.0407,0.0515,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,9872,0.9979,0.6917,0.6761,0.9979,0.0334,0.0500,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.4975,6.6308,6.5186,0.0300,0.0650,0.0567,0.073,0.086,0.110,0.034,1609,0.0779,0.0031,0.0025,0.00255,0.00079,0.00080,24.91,27.14,27.31,1673.9580,0.1034,32.4875,5.0071,7.0545,1100230,1519066,1.4159,0.0925,1449.3,1673.9580,23.03,0,0,0,0,0,0,10424,18074.448,15733.731,0.9464
6000,12843,1934,87973,175314,159421,86390,951,28454,96,0,291052,3164143,41914.935,32003.043,1.0153,13534.316,0.078,0.790,0.075,0.056,0.496,0.363,267,0.0843,0.7043,0.055,16.4,33.4,56.4,28.51,2.80,7.47,0.48,17.76,5.93,1.152,0.235,0.367,0.370,5.234,0.273,0.0038,64,279,445,8391,41,3,0.858,6690,450,2121,10272,1626,2041,9176,3.50,11.88,17363,20.4119,66772,15776,419883,3403.8,-0.0,626304,11.869,2624724.451,1.95e-15,0.00013,23.20,59779,25.405,1.741,22.953,0.710,25.405,5636,2968,4239,0.2721,0.927,1.113,1.406,1.218,0.934,1.219,12170.647,13091.324,22716.780,12019.782,20712.689,11465.810,2089.328,4913.589,0.484,0.513,0.498,0.502,0.462,0.511,32636,36527,0.5142,0.3427,0.3375,0.9996,0.0336,0.0511,0.5859,0.9080,0.8355,0.1549,0.0377,0.0478,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,11702,0.9993,0.7501,0.6468,0.9985,0.0336,0.0511,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.3671,6.3548,6.5090,0.0273,0.1090,0.1035,0.125,0.129,0.260,0.056,1574,0.0709,0.0033,0.0029,0.00242,0.00088,0.00088,21.82,27.49,27.62,1730.5553,0.1116,33.2090,5.7174,6.1521,1100648,1517540,0.7453,0.0297,1485.2,1730.5553,19.40,0,0,0,0,0,0,8031,18468.727,16320.580,0.9480
7000,8275,1659,78400,143043,128337,64180,463,29901,57,0,284908,3071051,37459.951,30291.064,1.0385,11798.186,0.082,0.803,0.057,0.057,0.493,0.361,284,0.1340,0.6796,0.045,20.5,36.0,62.8,31.76,2.93,8.29,0.25,20.30,6.08,1.192,0.239,0.332,0.336,5.887,0.280,0.0041,74,308,475,7955,24,3,0.669,4533,824,1139,6312,992,1254,6029,5.25,14.65,15828,17.7663,66841,15463,390035,3029.7,-0.0,661556,13.232,2624724.451,2.68e-14,0.00032,24.47,49529,24.485,1.743,22.378,0.364,24.486,3731,1604,2940,0.2492,0.944,1.141,1.489,1.230,0.946,1.278,11339.738,13368.113,17498.082,11221.413,20538.643,10746.079,2291.115,5455.685,0.471,0.483,0.525,0.417,0.433,0.488,33973,34936,0.5368,0.2991,0.3456,0.9998,0.0389,0.0542,0.5825,0.7252,0.8549,0.1512,0.0355,0.0408,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,9251,0.9984,0.5900,0.6878,0.9986,0.0389,0.0542,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.4296,6.2988,6.3756,0.0271,0.0611,0.0529,0.063,0.070,0.114,0.015,1975,0.0811,0.0028,0.0033,0.00214,0.00085,0.00092,27.26,27.37,27.13,1631.1916,0.1158,32.1772,7.0595,6.1721,1103132,1516967,0.5820,0.0142,1597.9,1631.1916,21.78,0,0,0,0,0,0,6848,18492.879,16464.238,0.9503
8000,8316,1524,76867,145782,131977,68338,577,23614,42,0,254244,2481080,37844.558,26779.351,0.9902,11045.367,0.100,0.790,0.068,0.042,0.472,0.372,221,0.1198,0.6826,0.048,16.6,33.2,60.7,29.25,2.08,7.84,0.32,19.01,6.11,1.206,0.235,0.255,0.257,5.614,0.286,0.0038,60,275,442,9663,45,6,0.555,4458,386,941,6989,795,722,6799,3.75,14.43,15845,17.3273,66742,14937,362520,2966.0,-0.0,689358,10.490,2624724.451,4.97e-15,0.00174,7.77,52255,23.952,1.830,21.738,0.383,23.952,2703,1804,3809,0.2577,0.939,1.123,1.667,1.240,0.940,1.308,11439.470,15437.757,15295.826,11309.840,22284.258,7660.650,2946.434,5126.901,0.424,0.464,0.521,0.425,0.438,0.519,32359,40520,0.5119,0.2745,0.3145,1.0000,0.0371,0.0571,0.5968,0.9656,0.8979,0.1321,0.0282,0.0366,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,4757,0.9982,0.7146,0.7243,0.9983,0.0371,0.0571,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.3171,5.9366,5.8571,0.0306,0.0661,0.0629,0.085,0.086,0.154,0.026,1577,0.0809,0.0027,0.0031,0.00233,0.00091,0.00096,24.38,27.86,27.93,1591.2271,0.0969,34.0890,4.7881,5.7023,1104929,1515356,1.0472,0.1020,1723.6,1591.2271,16.84,0,0,0,0,0,0,6316,15733.985,14024.706,0.9541
9000,7512,1211,52885,100489,90453,47228,376,17489,37,0,178508,1796670,26475.425,19043.814,1.0328,7521.573,0.093,0.753,0.089,0.065,0.461,0.380,136,0.1000,0.6934,0.061,18.7,32.6,56.1,28.34,2.63,8.30,0.30,17.11,6.02,1.191,0.252,0.382,0.389,5.476,0.235,0.0036,69,304,358,6380,56,5,0.524,4319,62,1098,6352,401,1461,5650,6.75,15.93,18916,19.0175,66735,17700,346951,2234.9,-0.0,706938,8.606,2624724.451,2.84e-15,0.00204,30.68,35988,18.966,2.022,16.640,0.304,18.967,3262,1576,2674,0.2452,0.939,1.094,1.733,1.209,0.928,1.324,7698.287,9989.945,11683.979,7629.907,14683.113,6353.564,1940.017,3228.659,0.449,0.424,0.499,0.442,0.438,0.517,36664,26842,0.5885,0.1671,0.2988,0.9994,0.0331,0.0696,0.6286,0.9249,0.8627,0.1589,0.0384,0.0427,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,3453,0.9987,0.7305,0.7467,0.9980,0.0331,0.0696,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.7565,6.0289,6.1791,0.0285,0.0672,0.0640,0.052,0.094,0.125,0.044,1478,0.1098,0.0031,0.0030,0.00243,0.00082,0.00103,25.60,27.76,27.87,1805.4070,0.0817,22.6824,4.2288,4.3769,1105780,1514987,1.9020,0.1820,1624.5,1805.4070,18.95,0,0,0,0,0,0,4390,11522.241,10248.624,0.9464
10000,9273,1594,81463,184056,170567,101707,886,22211,82,0,243262,2956965,47267.471,30965.907,1.0429,15109.958,0.095,0.741,0.093,0.071,0.526,0.344,188,0.0940,0.6873,0.069,19.6,34.2,57.3,29.95,2.46,8.27,0.35,18.88,6.18,1.188,0.245,0.337,0.342,5.727,0.257,0.0032,64,285,473,8867,47,5,0.409,4975,86,1165,8022,295,1458,7520,2.50,12.71,17294,18.8725,66737,15640,321972,2664.1,-0.0,728979,10.574,2624798.029,1.41e-14,0.00621,11.37,66279,32.103,2.018,29.513,0.572,32.157,2966,2214,4093,0.2671,0.911,1.099,1.595,1.216,0.916,1.315,12780.144,21142.742,18441.813,12698.443,31237.173,7852.602,2184.347,5819.000,0.485,0.508,0.576,0.518,0.497,0.601,30517,43627,0.5786,0.1585,0.2624,0.9998,0.0315,0.0525,0.6086,0.8328,0.8361,0.1647,0.0448,0.0431,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,5931,0.9986,0.6213,0.6508,0.9983,0.0315,0.0525,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.6820,6.0665,5.9555,0.0296,0.0675,0.0555,0.065,0.084,0.131,0.039,1517,0.0848,0.0020,0.0019,0.00268,0.00095,0.00119,25.89,28.21,28.56,1785.0040,0.0885,44.3555,4.2461,6.3275,1107107,1512612,2.3132,0.1886,1580.1,1785.0040,19.36,100,45,0,100,88,0,6534,15855.949,14061.320,0.9477
