step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,2,904,34.0,0.8,8.0,0.3,12.5,0.1,1.25,2.7,641,178,10.60,10.90,220,471,213,0.2,1.24,1.29,1.25,3.80,4.88,4.92,31.6,1.563,0.584,5.57
6000,2,856,41.0,0.9,9.6,0.3,12.2,0.2,1.27,2.9,604,168,10.37,14.51,274,257,325,0.3,1.28,1.22,1.30,4.14,4.99,5.09,30.8,1.720,0.656,5.77
7000,2,1288,32.9,1.2,7.5,0.0,9.1,0.2,1.40,2.3,842,152,8.02,9.60,538,387,363,0.3,1.46,1.34,1.42,3.43,4.35,4.46,30.0,1.783,0.646,4.98
8000,2,560,29.4,0.7,6.7,0.0,7.5,0.0,1.21,2.2,336,123,6.10,8.30,166,344,50,0.1,1.20,1.21,1.22,3.02,3.92,4.09,29.6,1.915,0.437,4.56
9000,2,815,29.0,0.3,6.8,0.0,7.4,0.1,1.12,1.6,416,139,6.75,7.50,269,230,316,0.1,1.12,1.12,1.13,3.06,3.92,3.94,33.9,1.965,0.413,4.33
10000,2,757,28.4,0.6,5.9,0.0,7.6,0.1,1.21,1.8,406,194,8.36,8.80,354,220,183,0.1,1.21,1.21,1.22,3.09,3.87,3.91,27.2,1.947,0.390,4.35
11000,2,400,30.0,0.7,4.7,0.1,9.6,0.1,1.21,1.6,245,200,10.78,6.42,276,78,46,0.1,1.20,1.20,1.23,3.24,3.95,4.01,23.2,1.944,0.413,4.38
12000,2,210,28.7,0.6,5.1,0.0,8.2,0.0,1.20,1.1,110,175,9.09,5.30,94,40,76,0.1,1.13,1.27,1.23,3.11,3.77,3.87,30.0,1.991,0.306,4.09
13000,2,251,29.9,0.3,4.5,0.0,9.9,0.1,1.12,1.1,137,248,13.48,5.37,149,63,39,0.1,1.13,1.06,1.14,3.27,3.91,3.95,23.9,1.987,0.309,4.20
14000,2,67,27.9,0.7,3.6,0.1,9.0,0.0,1.27,1.8,47,352,17.61,3.23,54,13,0,0.2,1.25,1.43,1.24,3.25,3.96,3.76,20.7,1.972,0.233,4.31
15000,49,148,29.0,0.3,6.6,0.0,7.2,0.0,1.12,0.5,72,141,7.40,3.85,113,28,7,0.0,1.13,1.07,1.15,2.97,3.83,3.99,17.0,1.993,0.180,4.03
15000,2,8,18.6,0.1,3.2,0.0,5.9,0.1,1.05,3.0,7,397,20.36,1.67,5,3,0,0.1,1.08,1.00,1.06,2.62,3.50,3.50,23.4,1.982,0.172,4.25
16000,49,47,29.1,0.9,6.7,0.0,6.1,0.1,1.34,0.6,38,392,18.67,6.56,36,8,3,0.1,1.34,1.31,1.36,3.19,3.87,3.96,16.0,1.995,0.302,4.06
17000,49,96,33.5,1.0,5.7,0.0,9.0,0.0,1.34,0.5,52,270,16.62,1.75,76,6,14,0.1,1.33,1.39,1.32,3.09,4.15,4.05,22.3,1.995,0.235,4.22
18000,49,214,30.9,0.8,6.0,0.0,7.9,0.0,1.29,0.9,128,179,12.12,2.74,112,84,18,0.1,1.24,1.39,1.27,3.14,3.97,3.98,24.1,1.994,0.282,4.20
19000,49,400,33.0,0.6,4.5,0.0,10.8,0.1,1.24,0.6,223,248,14.07,3.05,272,86,42,0.1,1.22,1.29,1.22,3.21,4.22,4.14,20.7,1.991,0.254,4.34
20000,49,172,27.6,0.7,4.9,0.0,7.6,0.1,1.26,1.4,114,245,12.58,4.64,60,35,77,0.2,1.26,1.36,1.22,2.98,3.88,3.69,33.2,1.996,0.224,4.13
