year,habitats,change,agree_prev,land_temp,sea_temp,pole_gap,day_swing,season_swing,rain_land,evap_land,runoff_land,lakes,dry,moist,wet,water_err,land_cold_dry,land_cold_moist,land_cold_wet,land_mild_dry,land_mild_moist,land_mild_wet,land_hot_dry,land_hot_moist,land_hot_wet,shallow_cold,shallow_mild,shallow_hot,deep_cold,deep_mild,deep_hot
1,6,0.3027,NaN,0.23,0.58,22.71,20.53,9.89,22.0,29.5,0.0,0.0000,0.0147,0.9853,0.0000,3.80e-15,0.0012,0.4313,0.0000,0.0088,0.2427,0.0000,0.0000,0.0000,0.0000,0.0499,0.0222,0.0000,0.1641,0.0798,0.0000
2,7,0.2785,0.9062,0.32,1.92,23.16,20.55,9.84,24.3,25.7,0.0,0.0000,0.0835,0.9165,0.0000,4.41e-15,0.0062,0.4236,0.0000,0.0510,0.2032,0.0000,0.0000,0.0000,0.0000,0.0402,0.0319,0.0000,0.1318,0.1121,0.0000
3,7,0.2630,0.9263,0.32,3.00,23.49,20.54,9.82,23.8,24.7,0.0,0.0000,0.1522,0.8448,0.0030,2.30e-15,0.0170,0.4110,0.0018,0.0871,0.1668,0.0002,0.0000,0.0000,0.0000,0.0346,0.0375,0.0000,0.1158,0.1281,0.0000
4,8,0.2608,0.9443,0.33,3.87,23.77,20.54,9.83,23.5,24.0,0.0,0.0000,0.2010,0.7856,0.0134,3.07e-15,0.0269,0.3952,0.0079,0.1106,0.1421,0.0013,0.0000,0.0000,0.0000,0.0313,0.0408,0.0000,0.1067,0.1372,0.0000
5,8,0.2653,0.9486,0.34,4.58,23.98,20.54,9.86,23.3,23.5,0.0,0.0000,0.2384,0.7288,0.0328,1.31e-15,0.0371,0.3737,0.0188,0.1260,0.1248,0.0036,0.0000,0.0000,0.0000,0.0286,0.0434,0.0000,0.0998,0.1441,0.0000
6,9,0.2685,0.9536,0.35,5.15,24.17,20.55,9.85,23.2,23.2,0.0,0.0000,0.2676,0.6750,0.0574,1.13e-15,0.0473,0.3491,0.0328,0.1357,0.1126,0.0065,0.0000,0.0000,0.0000,0.0267,0.0453,0.0000,0.0964,0.1476,0.0000
7,9,0.2664,0.9561,0.35,5.60,24.32,20.55,9.82,23.2,22.9,0.0,0.0000,0.2903,0.6275,0.0822,1.08e-16,0.0561,0.3262,0.0468,0.1425,0.1030,0.0095,0.0000,0.0000,0.0000,0.0253,0.0468,0.0000,0.0923,0.1516,0.0000
8,9,0.2650,0.9621,0.35,5.97,24.46,20.54,9.82,23.2,22.8,0.0,0.0000,0.3071,0.5873,0.1056,6.49e-17,0.0639,0.3053,0.0603,0.1461,0.0964,0.0119,0.0000,0.0000,0.0000,0.0245,0.0476,0.0000,0.0904,0.1535,0.0000
9,9,0.2673,0.9652,0.35,6.27,24.56,20.54,9.85,23.2,22.7,0.0,0.0000,0.3192,0.5549,0.1259,4.42e-16,0.0709,0.2863,0.0721,0.1475,0.0932,0.0141,0.0000,0.0000,0.0000,0.0236,0.0485,0.0000,0.0877,0.1562,0.0000
10,9,0.2704,0.9700,0.36,6.52,24.65,20.54,9.86,23.2,22.7,0.0,0.0000,0.3274,0.5289,0.1437,1.09e-15,0.0767,0.2702,0.0822,0.1473,0.0915,0.0161,0.0000,0.0000,0.0000,0.0232,0.0489,0.0000,0.0870,0.1569,0.0000
