year,habitats,change,agree_prev,land_temp,sea_temp,pole_gap,day_swing,season_swing,rain_land,evap_land,runoff_land,lakes,dry,moist,wet,water_err,land_cold_dry,land_cold_moist,land_cold_wet,land_mild_dry,land_mild_moist,land_mild_wet,land_hot_dry,land_hot_moist,land_hot_wet,shallow_cold,shallow_mild,shallow_hot,deep_cold,deep_mild,deep_hot
1,6,0.2105,NaN,7.58,2.32,32.68,8.87,11.67,35.2,43.3,0.0,0.0000,0.0313,0.9670,0.0017,3.23e-15,0.0006,0.1127,0.0001,0.0055,0.2074,0.0004,0.0048,0.0155,0.0000,0.0369,0.0357,0.0000,0.3255,0.2548,0.0000
2,7,0.2147,0.9162,7.81,3.70,32.74,8.85,11.54,37.8,39.6,0.0,0.0000,0.1421,0.8459,0.0120,4.15e-15,0.0038,0.1078,0.0007,0.0329,0.1750,0.0035,0.0126,0.0107,0.0000,0.0330,0.0397,0.0000,0.2910,0.2894,0.0000
3,7,0.2187,0.9260,7.84,4.84,32.60,8.85,11.56,37.5,38.3,0.0,0.0000,0.2384,0.7199,0.0417,1.87e-15,0.0108,0.0997,0.0017,0.0557,0.1425,0.0127,0.0162,0.0076,0.0001,0.0308,0.0418,0.0000,0.2652,0.3152,0.0000
4,8,0.2111,0.9376,7.85,5.77,32.52,8.85,11.55,37.9,37.9,0.0,0.0000,0.3050,0.6143,0.0807,6.64e-16,0.0181,0.0906,0.0033,0.0698,0.1165,0.0246,0.0179,0.0061,0.0001,0.0291,0.0435,0.0000,0.2457,0.3347,0.0000
5,9,0.2072,0.9493,7.86,6.53,32.45,8.85,11.54,38.8,38.0,0.0,0.0000,0.3445,0.5417,0.1138,2.61e-15,0.0245,0.0823,0.0051,0.0765,0.0995,0.0341,0.0186,0.0061,0.0002,0.0277,0.0449,0.0000,0.2303,0.3501,0.0000
6,9,0.2053,0.9577,7.87,7.16,32.64,8.85,11.56,40.0,38.6,0.0,0.0000,0.3621,0.4970,0.1409,1.45e-15,0.0297,0.0752,0.0070,0.0789,0.0893,0.0414,0.0171,0.0080,0.0004,0.0268,0.0458,0.0000,0.2192,0.3612,0.0000
7,9,0.2002,0.9628,7.88,7.68,33.05,8.85,11.55,41.5,39.6,0.1,0.0000,0.3671,0.4652,0.1676,5.68e-17,0.0335,0.0695,0.0088,0.0791,0.0825,0.0482,0.0147,0.0094,0.0012,0.0261,0.0466,0.0000,0.2105,0.3699,0.0000
8,9,0.2027,0.9650,7.88,8.11,33.40,8.85,11.54,43.0,40.7,0.2,0.0001,0.3741,0.4284,0.1973,1.42e-15,0.0367,0.0647,0.0104,0.0792,0.0752,0.0550,0.0140,0.0088,0.0031,0.0254,0.0472,0.0001,0.2016,0.3788,0.0000
9,9,0.1990,0.9692,7.89,8.46,33.68,8.85,11.56,44.3,41.8,0.5,0.0001,0.3796,0.3929,0.2271,2.08e-16,0.0394,0.0606,0.0118,0.0791,0.0681,0.0619,0.0133,0.0076,0.0051,0.0249,0.0474,0.0004,0.1951,0.3853,0.0000
10,9,0.1952,0.9739,7.89,8.75,33.91,8.85,11.55,45.5,42.7,0.8,0.0002,0.3845,0.3623,0.2526,8.98e-16,0.0418,0.0570,0.0131,0.0791,0.0623,0.0679,0.0126,0.0065,0.0067,0.0247,0.0473,0.0009,0.1911,0.3893,0.0000
11,9,0.1959,0.9781,7.89,8.98,34.10,8.85,11.54,46.5,43.5,1.1,0.0003,0.3888,0.3390,0.2714,3.09e-16,0.0439,0.0537,0.0141,0.0789,0.0575,0.0724,0.0121,0.0064,0.0076,0.0244,0.0468,0.0017,0.1881,0.3923,0.0000
12,10,0.2176,0.9480,7.90,9.18,34.26,8.85,11.56,47.2,44.1,1.5,0.0004,0.3933,0.3175,0.2882,7.99e-16,0.0462,0.0504,0.0152,0.0787,0.0534,0.0765,0.0116,0.0064,0.0083,0.0242,0.0446,0.0042,0.1844,0.3667,0.0293
13,10,0.2071,0.9618,7.90,9.34,34.39,8.85,11.55,47.9,44.6,1.7,0.0004,0.3982,0.2979,0.3027,1.68e-16,0.0482,0.0474,0.0161,0.0788,0.0499,0.0802,0.0111,0.0061,0.0087,0.0241,0.0429,0.0061,0.1819,0.3503,0.0482
14,10,0.2003,0.9727,7.90,9.47,34.50,8.85,11.54,48.4,45.1,1.9,0.0005,0.4032,0.2800,0.3154,5.08e-17,0.0499,0.0448,0.0170,0.0790,0.0464,0.0831,0.0109,0.0059,0.0094,0.0239,0.0421,0.0071,0.1796,0.3419,0.0589
15,10,0.2035,0.9785,7.90,9.58,34.59,8.85,11.56,48.8,45.5,2.0,0.0006,0.4069,0.2647,0.3267,1.16e-15,0.0514,0.0425,0.0178,0.0790,0.0437,0.0856,0.0107,0.0056,0.0100,0.0238,0.0416,0.0078,0.1788,0.3350,0.0667
16,10,0.1997,0.9816,7.90,9.67,34.66,8.85,11.55,49.2,45.8,2.1,0.0006,0.4096,0.2520,0.3366,1.29e-16,0.0528,0.0404,0.0185,0.0788,0.0418,0.0881,0.0105,0.0053,0.0102,0.0238,0.0412,0.0083,0.1768,0.3322,0.0715
17,10,0.1950,0.9826,7.90,9.74,34.73,8.85,11.54,49.5,46.1,2.2,0.0007,0.4116,0.2406,0.3458,1.50e-16,0.0540,0.0384,0.0193,0.0784,0.0399,0.0900,0.0104,0.0052,0.0108,0.0236,0.0410,0.0086,0.1751,0.3291,0.0762
18,10,0.1939,0.9866,7.90,9.80,34.77,8.85,11.56,49.8,46.4,2.3,0.0007,0.4126,0.2313,0.3539,6.10e-16,0.0550,0.0368,0.0199,0.0780,0.0386,0.0917,0.0102,0.0050,0.0112,0.0236,0.0408,0.0089,0.1751,0.3256,0.0798
19,11,0.1971,0.9865,7.90,9.85,34.81,8.85,11.55,50.1,46.7,2.3,0.0008,0.4133,0.2230,0.3614,3.59e-16,0.0558,0.0353,0.0205,0.0775,0.0373,0.0937,0.0101,0.0048,0.0112,0.0236,0.0407,0.0092,0.1740,0.3237,0.0827
20,11,0.1991,0.9887,7.90,9.90,34.85,8.85,11.54,50.4,46.9,2.3,0.0008,0.4134,0.2163,0.3679,3.26e-16,0.0566,0.0340,0.0210,0.0770,0.0363,0.0949,0.0100,0.0047,0.0117,0.0235,0.0406,0.0093,0.1731,0.3226,0.0846
