year,habitats,change,agree_prev,land_temp,sea_temp,pole_gap,day_swing,season_swing,rain_land,evap_land,runoff_land,lakes,dry,moist,wet,water_err,land_cold_dry,land_cold_moist,land_cold_wet,land_mild_dry,land_mild_moist,land_mild_wet,land_hot_dry,land_hot_moist,land_hot_wet,shallow_cold,shallow_mild,shallow_hot,deep_cold,deep_mild,deep_hot
1,8,0.3350,NaN,2.07,3.61,11.68,87.74,4.48,496.8,515.3,0.0,0.0000,0.2319,0.7558,0.0123,1.19e-15,0.0341,0.3917,0.0075,0.1106,0.0799,0.0001,0.0000,0.0000,0.0000,0.0301,0.0204,0.0000,0.1576,0.1679,0.0000
2,9,0.2789,0.7564,2.12,5.74,12.64,87.82,4.73,445.9,447.6,0.0,0.0000,0.4367,0.5122,0.0511,3.92e-16,0.1089,0.2932,0.0319,0.1636,0.0264,0.0000,0.0000,0.0000,0.0000,0.0240,0.0264,0.0000,0.1059,0.2196,0.0000
3,7,0.2527,0.8303,2.17,7.25,13.54,87.82,4.92,423.1,426.0,0.0,0.0000,0.5347,0.3977,0.0676,7.84e-16,0.1523,0.2362,0.0422,0.1813,0.0120,0.0000,0.0000,0.0000,0.0000,0.0186,0.0318,0.0000,0.0850,0.2406,0.0000
4,7,0.2351,0.8680,2.20,8.33,14.13,87.81,4.94,414.8,416.7,0.0,0.0000,0.5859,0.3478,0.0663,3.53e-17,0.1762,0.2090,0.0414,0.1894,0.0080,0.0000,0.0000,0.0000,0.0000,0.0156,0.0349,0.0000,0.0734,0.2521,0.0000
5,7,0.2261,0.8935,2.19,9.09,14.51,87.81,4.80,410.0,410.9,0.0,0.0000,0.6024,0.3386,0.0591,6.51e-17,0.1835,0.2053,0.0368,0.1924,0.0059,0.0000,0.0000,0.0000,0.0000,0.0137,0.0368,0.0000,0.0663,0.2593,0.0000
6,7,0.2058,0.9138,2.16,9.64,14.76,87.82,4.69,409.0,408.5,0.0,0.0000,0.5987,0.3482,0.0531,2.50e-16,0.1828,0.2126,0.0331,0.1907,0.0047,0.0000,0.0000,0.0000,0.0000,0.0128,0.0377,0.0000,0.0615,0.2640,0.0000
7,7,0.2069,0.9218,2.14,10.03,14.99,87.81,4.68,412.5,411.2,0.0,0.0000,0.5908,0.3582,0.0510,1.85e-16,0.1800,0.2204,0.0318,0.1887,0.0031,0.0000,0.0000,0.0000,0.0000,0.0124,0.0381,0.0000,0.0581,0.2675,0.0000
8,7,0.2005,0.9327,2.15,10.31,15.25,87.81,4.80,417.2,415.9,0.0,0.0000,0.5830,0.3660,0.0510,2.52e-16,0.1758,0.2259,0.0318,0.1881,0.0024,0.0000,0.0000,0.0000,0.0000,0.0121,0.0383,0.0000,0.0554,0.2701,0.0000
9,7,0.2009,0.9360,2.19,10.51,15.40,87.82,4.95,422.2,422.3,0.0,0.0000,0.5684,0.3801,0.0515,9.22e-17,0.1606,0.2350,0.0321,0.1941,0.0022,0.0000,0.0000,0.0000,0.0000,0.0120,0.0385,0.0000,0.0543,0.2712,0.0000
10,7,0.2070,0.9387,2.21,10.65,15.44,87.81,4.93,429.7,429.6,0.0,0.0000,0.5504,0.3984,0.0512,1.54e-16,0.1499,0.2449,0.0319,0.1936,0.0037,0.0000,0.0000,0.0000,0.0000,0.0119,0.0386,0.0000,0.0526,0.2729,0.0000
11,7,0.2024,0.9442,2.18,10.75,15.44,87.81,4.72,437.6,437.0,0.0,0.0000,0.5340,0.4136,0.0524,1.42e-16,0.1411,0.2518,0.0327,0.1921,0.0063,0.0000,0.0000,0.0000,0.0000,0.0118,0.0387,0.0000,0.0524,0.2732,0.0000
12,7,0.1933,0.9459,2.15,10.82,15.44,87.82,4.71,445.3,444.3,0.0,0.0000,0.5191,0.4261,0.0547,1.85e-17,0.1384,0.2578,0.0341,0.1855,0.0081,0.0000,0.0000,0.0000,0.0000,0.0117,0.0388,0.0000,0.0507,0.2748,0.0000
13,7,0.2034,0.9525,2.14,10.87,15.52,87.82,4.69,451.5,449.4,0.0,0.0000,0.5073,0.4357,0.0568,1.10e-16,0.1352,0.2620,0.0355,0.1814,0.0099,0.0000,0.0000,0.0000,0.0000,0.0117,0.0388,0.0000,0.0507,0.2748,0.0000
14,7,0.1964,0.9528,2.17,10.91,15.63,87.81,4.88,455.9,455.5,0.0,0.0001,0.4985,0.4424,0.0590,3.85e-17,0.1306,0.2642,0.0368,0.1805,0.0119,0.0000,0.0000,0.0000,0.0000,0.0117,0.0388,0.0000,0.0506,0.2749,0.0000
15,7,0.2024,0.9531,2.21,10.94,15.64,87.81,4.94,459.4,460.0,0.0,0.0001,0.4919,0.4470,0.0610,1.78e-16,0.1228,0.2655,0.0381,0.1842,0.0135,0.0000,0.0000,0.0000,0.0000,0.0117,0.0388,0.0000,0.0506,0.2749,0.0000
16,7,0.2065,0.9519,2.20,10.95,15.60,87.82,4.86,462.8,463.2,0.0,0.0001,0.4864,0.4504,0.0631,7.66e-17,0.1208,0.2660,0.0394,0.1827,0.0150,0.0000,0.0000,0.0000,0.0000,0.0117,0.0389,0.0000,0.0505,0.2751,0.0000
17,7,0.1998,0.9554,2.17,10.97,15.55,87.82,4.68,465.7,465.2,0.0,0.0001,0.4821,0.4529,0.0649,3.11e-18,0.1203,0.2660,0.0405,0.1805,0.0166,0.0000,0.0000,0.0000,0.0000,0.0117,0.0389,0.0000,0.0504,0.2751,0.0000
