step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool,plant,hunger
10000,0,273,55.00,0.76,15.35,0.15,20.64,0.22,1.12,0.059,0.114,147239.6,73644.2,1,40,5.28,1.20,1.11,4.8714,59.54,32996.3,0.0086,10.7890,5462,10.8817,1106,1.3325,3287.9,165.42,0.5192,0.0,0.0000,1.000,0.7635,1.2392,1.0057
10000,1,254,49.18,0.46,14.31,0.31,19.21,0.09,1.08,0.028,0.101,141154.0,69700.1,1,55,4.99,1.09,1.04,4.6324,59.94,31969.9,0.0072,10.2751,5461,10.8797,1206,1.2695,3105.0,81.35,3.6569,0.0,0.0000,1.000,0.2025,1.3831,0.9547
10000,2,208,51.68,0.89,15.12,0.00,19.94,0.09,1.16,0.029,0.086,113919.9,53584.8,1,70,5.16,1.17,1.10,4.0309,46.72,31581.7,0.0069,7.5284,5461,10.8797,981,0.8074,1805.9,53.21,7.2873,0.0,0.0000,1.000,0.0207,1.1408,0.7529
20000,0,177,51.25,0.86,16.71,3.62,27.01,0.07,1.18,0.017,0.097,61149.6,19401.8,5,25,6.42,1.21,1.14,0.7087,74.75,40004.5,0.0000,5.8710,5462,4.0258,812,0.3778,715.0,165.42,0.2023,0.0,0.0000,1.000,0.7635,0.8585,0.2424
20000,1,133,54.75,0.11,17.53,3.31,30.71,0.00,1.01,0.000,0.076,33745.7,10392.5,5,63,6.95,1.00,1.00,0.3921,19.67,38905.4,0.0000,3.0144,5461,4.0251,674,0.1628,297.8,81.35,0.9672,0.0,0.0000,1.000,0.2025,0.7639,0.1502
20000,2,108,48.63,0.21,17.14,3.88,29.37,0.00,1.04,0.000,0.065,22506.9,6043.5,4,63,6.59,1.06,1.05,0.2342,22.23,37507.2,0.0000,1.9180,5461,4.0251,434,0.0859,146.4,53.21,1.7424,0.0,0.0000,1.000,0.0207,0.5527,0.1105
30000,0,339,50.83,1.02,13.79,0.83,15.20,0.31,1.26,0.088,0.119,113473.1,64473.5,4,47,5.02,1.34,1.11,2.2492,89.74,37655.8,0.0000,11.3386,5462,8.7996,1043,0.7912,2163.2,165.42,0.4991,0.0,0.0000,1.000,0.7635,1.1520,0.5738
30000,1,308,55.74,1.54,13.86,1.14,18.87,0.34,1.38,0.120,0.126,107743.3,54760.7,5,61,5.42,1.46,1.26,2.0284,110.30,36068.3,0.0000,10.7199,5461,8.7980,846,0.7760,2027.7,81.35,3.7324,0.0,0.0000,1.000,0.2025,0.9462,0.5124
30000,2,266,52.61,1.91,13.95,1.54,18.35,0.44,1.48,0.139,0.107,77114.6,39293.8,5,67,5.60,1.61,1.26,1.3780,71.66,34378.9,0.0000,7.8635,5461,8.7980,856,0.4979,1118.6,53.21,7.3576,0.0,0.0000,1.000,0.0207,0.9492,0.3741
40000,0,236,43.88,0.47,15.83,1.65,19.87,0.04,1.13,0.013,0.102,60405.8,19612.4,3,41,5.46,1.14,1.17,0.7911,50.52,40022.2,0.0000,5.8822,5462,3.5928,761,0.3710,701.7,165.42,0.2073,0.0,0.0000,1.000,0.7635,0.9240,0.2569
