step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom
1000,17053,14448,126686,881132,849096,735852,18594,69206,1364,1,185067,6204835,182962.638,73360.667,0.2376,70612.791,0.252,0.260,0.252,0.237,0.672,0.311,576,0.0104,0.7208,0.249,14.0,44.1,80.1,42.98,4.01,4.65,2.89,31.43,7.69,1.029,0.096,0.053,0.054,25.853,0.752,0.0023,166,480,2236,6437,71,0,0.000,8493,5028,3802,8223,1617,5408,10028,0.00,0.50,11773,33.8050,66717,9047,539204,1992.8,-0.0,459083,54.904,2631002.543,6.37e-15,0.00092,30.00,258252,143.744,1.779,139.612,2.354,143.745,12611,1504,2938,0.4469,0.839,1.019,1.239,1.021,0.917,1.123,37351.460,12457.269,183340.947,37989.241,32245.241,1821.208,432.652,494.016,0.732,0.584,0.544,0.890,0.730,0.694,7002,45116,0.5226,0.9999,1.0000,0.0421,0.9999,1.0000,0.5532,0.7554,0.8928,0.1071,0.0543,0.0270,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,17922,0.9998,0.6877,0.7644,0.9986,0.0622,0.0531
2000,15875,6663,47336,111498,104807,62998,1164,31361,1136,0,142661,2650339,37960.817,14480.583,0.2865,11926.145,0.217,0.366,0.196,0.222,0.587,0.352,585,0.0213,0.6767,0.238,12.4,32.5,68.8,34.57,2.50,5.69,1.32,25.05,7.71,1.056,0.160,0.040,0.040,13.501,0.556,0.0028,210,1235,2045,6893,169,0,0.000,7792,1033,2670,12172,657,1208,14010,0.00,3.78,12942,13.0461,66818,6280,491680,1248.1,-0.0,525688,36.006,2631002.543,3.61e-14,0.00005,25.34,35202,45.299,1.743,42.126,1.430,45.300,3115,3912,8848,0.3342,0.882,1.040,1.231,1.034,0.914,1.126,16605.169,15299.082,8519.071,16580.082,24787.809,472.173,550.796,1531.468,0.589,0.592,0.583,0.655,0.551,0.574,6013,4530,0.6079,0.9999,1.0000,0.0998,0.9998,1.0000,0.5148,0.8585,0.9655,0.1758,0.0335,0.0266,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,11487,0.9999,0.6804,0.7787,0.9996,0.0585,0.0517
3000,15638,5456,41323,95606,87315,53352,931,30960,1748,2,201084,3204759,33886.661,12701.892,0.3210,8668.172,0.161,0.538,0.136,0.164,0.564,0.338,1441,0.0448,0.7153,0.213,12.5,32.0,67.0,33.76,1.69,7.44,0.83,23.81,7.59,1.062,0.206,0.032,0.034,12.190,0.474,0.0032,207,668,2489,15094,348,0,0.000,7855,91,2524,13023,726,2674,12238,0.00,9.47,16205,18.8549,66729,6106,455940,1437.3,-0.0,558692,24.741,2631002.543,1.31e-14,0.00476,14.43,28765,35.254,1.780,32.396,1.078,35.254,4311,4788,6539,0.3940,0.906,1.036,1.244,1.079,0.938,1.141,13518.467,12534.734,10681.991,13452.258,18420.584,615.462,909.053,2509.205,0.628,0.560,0.547,0.663,0.509,0.553,4455,2858,0.5550,0.9999,1.0000,0.1712,0.9999,1.0000,0.6326,0.9723,0.9814,0.0912,0.0262,0.0243,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,5992,0.9992,0.7457,0.8169,0.9991,0.0485,0.0654
4000,14163,5509,42922,106921,97686,63136,863,31461,2479,28,243406,3492503,38116.386,15309.200,0.3384,10161.860,0.165,0.582,0.123,0.131,0.549,0.340,1778,0.0633,0.7173,0.213,12.4,32.1,76.0,36.27,1.82,6.74,0.90,26.81,7.78,1.060,0.203,0.034,0.037,12.778,0.475,0.0031,197,625,3438,18237,667,0,0.000,7301,51,2113,11999,1270,1718,11175,0.50,12.63,10445,17.4026,66780,5932,426324,1481.1,-0.0,594342,24.226,2631002.543,1.24e-15,0.00153,37.93,33025,36.618,1.775,33.927,0.916,36.618,4950,4232,4981,0.4714,0.876,1.010,1.290,1.029,0.947,1.185,12475.131,9541.174,22040.418,12356.173,13881.656,852.662,1184.304,3110.374,0.650,0.534,0.520,0.743,0.437,0.499,4370,6501,0.5274,1.0000,1.0000,0.1326,1.0000,1.0000,0.5819,1.0098,0.9984,0.0682,0.0278,0.0361,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,3928,0.9991,0.8221,0.8539,0.9987,0.0426,0.0766
5000,11877,5205,41389,89202,79359,46910,903,32434,2353,36,227283,3436316,32741.405,13102.868,0.3276,8449.064,0.153,0.602,0.104,0.142,0.533,0.350,1726,0.0799,0.7154,0.213,12.8,30.4,65.6,31.80,1.43,7.76,0.57,22.04,7.52,1.090,0.247,0.035,0.038,12.440,0.523,0.0033,200,650,4288,18574,997,23,0.779,6136,87,1831,9959,593,1664,9620,1.75,14.98,8100,12.2218,66773,5277,395233,889.5,-0.0,632383,25.305,2631002.543,2.87e-14,0.00023,12.68,26470,34.615,1.770,32.270,0.575,34.615,2928,4156,4793,0.4435,0.925,1.019,1.363,1.080,0.960,1.209,13189.980,9236.830,15460.630,13014.946,12714.892,687.077,1456.673,2510.054,0.621,0.545,0.488,0.682,0.420,0.455,4184,5973,0.5252,1.0000,1.0000,0.1331,1.0000,1.0000,0.6315,1.0129,1.0237,0.0761,0.0190,0.0363,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,2879,0.9996,0.8280,0.8812,0.9979,0.0461,0.0827
6000,12450,4805,36235,68366,58946,31544,587,27705,2050,72,234572,3172116,28329.897,10061.934,0.3225,5333.967,0.136,0.666,0.075,0.122,0.510,0.355,1761,0.0846,0.7342,0.183,12.6,30.1,66.5,31.01,1.50,8.64,0.53,20.35,7.44,1.102,0.261,0.056,0.062,11.283,0.471,0.0032,194,697,3970,17504,1177,22,0.818,6709,169,1638,10643,666,1242,10542,3.00,17.47,10883,15.3965,66781,5102,362818,923.0,-0.0,663388,20.688,2631002.543,1.66e-14,0.00023,23.20,20406,28.202,1.773,25.818,0.611,28.202,3488,4386,4576,0.4402,0.935,1.020,1.383,1.134,0.969,1.205,12093.172,8407.730,10669.880,11918.137,11075.846,1114.717,1568.166,2045.084,0.610,0.509,0.470,0.625,0.352,0.435,3949,3373,0.5316,1.0000,1.0000,0.1732,1.0000,0.9999,0.6930,1.0503,1.0205,0.0765,0.0281,0.0345,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,2462,0.9992,0.8623,0.8810,0.9987,0.0487,0.0887
7000,13225,5168,38398,84158,74000,45186,574,28287,2438,32,292219,3500853,31714.001,12626.407,0.3130,6910.092,0.127,0.694,0.074,0.105,0.519,0.351,1400,0.0823,0.7184,0.191,15.9,33.7,66.9,33.54,1.59,8.92,0.57,22.46,7.34,1.109,0.253,0.057,0.064,11.216,0.447,0.0031,196,677,2976,18130,710,22,0.710,7142,732,1390,11103,1438,2249,9538,3.48,18.07,10367,18.6900,66851,4490,332535,1107.6,-0.0,693364,21.495,2631002.543,2.27e-14,0.00042,24.47,25892,30.739,1.786,28.216,0.737,30.739,5741,3771,3713,0.4301,0.930,1.027,1.409,1.134,0.973,1.207,11174.572,7234.531,18016.666,11039.366,9568.061,2602.590,1380.799,1732.926,0.633,0.498,0.451,0.684,0.352,0.420,3769,4776,0.5101,1.0000,0.9999,0.1178,0.9999,0.9999,0.6630,1.0691,1.0183,0.0649,0.0195,0.0356,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,2090,0.9994,0.8829,0.8930,0.9983,0.0532,0.0880
8000,9646,4036,36028,75721,65522,39212,481,27009,2140,32,287431,3161387,28151.492,12255.019,0.3026,6819.435,0.131,0.697,0.070,0.103,0.506,0.358,1130,0.1087,0.7088,0.193,13.7,32.0,69.9,32.51,1.53,9.57,0.46,20.94,7.40,1.102,0.269,0.063,0.071,11.158,0.499,0.0032,187,673,2970,17276,967,17,0.549,5484,528,987,8131,829,1209,7608,4.42,21.50,7994,13.8070,66750,4172,306821,1003.4,-0.0,725350,20.998,2631002.543,7.08e-15,0.00073,7.77,23291,28.715,1.785,26.502,0.427,28.715,3266,3307,3073,0.4519,0.937,1.014,1.411,1.144,0.975,1.196,10150.133,6354.979,16763.125,9996.341,8211.461,2588.939,1244.557,1602.088,0.586,0.506,0.435,0.649,0.348,0.416,3596,9039,0.4473,1.0000,0.9996,0.1026,1.0000,1.0000,0.6753,1.1082,1.0424,0.0782,0.0163,0.0294,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,1387,0.9993,0.9258,0.9036,0.9990,0.0571,0.0913
9000,9893,3412,30968,55880,46763,24533,379,21997,1948,25,231420,2434893,22994.771,8703.580,0.3139,4162.717,0.133,0.711,0.059,0.097,0.474,0.379,1074,0.0944,0.7186,0.187,15.3,32.0,66.3,32.99,1.16,9.96,0.40,21.47,7.28,1.116,0.279,0.053,0.062,9.810,0.434,0.0033,184,657,2293,15602,798,17,0.475,5290,39,1031,8823,930,1613,7350,6.25,24.18,9769,14.1817,66743,4254,286966,848.4,0.0,745472,16.270,2631002.543,8.85e-16,0.00083,30.68,17539,22.538,1.771,20.356,0.411,22.539,3684,3278,2931,0.4103,0.958,1.032,1.422,1.183,0.977,1.186,9454.327,5789.148,10478.056,9309.768,7369.665,1636.346,1278.848,1625.669,0.528,0.485,0.423,0.550,0.334,0.416,3807,5519,0.5198,1.0000,1.0000,0.1340,0.9998,0.9999,0.6976,1.0807,0.9847,0.0511,0.0155,0.0285,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,1232,0.9998,0.9245,0.8679,0.9984,0.0597,0.0942
10000,9154,3932,32892,61691,51804,28491,308,24458,2253,31,287996,2851885,25461.968,10372.521,0.3014,4946.560,0.130,0.724,0.057,0.089,0.494,0.359,1144,0.1146,0.7035,0.165,15.0,32.0,67.9,32.31,1.01,10.44,0.34,20.51,7.27,1.141,0.289,0.050,0.058,9.943,0.509,0.0033,193,615,1850,17532,663,15,0.357,5319,31,805,8318,854,1234,7066,6.08,22.71,9089,13.5809,66735,4289,266035,701.1,-0.0,768849,18.202,2631002.543,4.96e-15,0.00919,11.37,19858,24.866,1.792,22.703,0.371,24.896,3217,3091,2846,0.4140,0.956,1.032,1.487,1.222,0.977,1.228,9702.297,6127.080,13258.211,9516.010,7634.308,2360.565,1260.545,1804.851,0.552,0.509,0.428,0.596,0.333,0.381,3717,5665,0.5120,1.0000,1.0000,0.1113,1.0000,0.9999,0.6943,1.1137,1.0127,0.0432,0.0177,0.0259,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,1224,0.9998,0.9222,0.8703,0.9979,0.0538,0.0862
