step,lineage,size,mass,hard,muscle,sensor,digestive,bite_any,tooth,age,plant,meat,shapes
5000,1,9150,32.71,0.99,8.19,0.49,20.37,0.14,0.034,401,21.67,7.75,4464
5000,69,355,33.70,0.19,8.05,0.05,25.69,0.08,0.014,514,30.01,4.26,217
5000,20,87,21.37,0.01,4.68,5.46,13.20,0.03,0.011,1099,55.59,11.26,71
5000,89,70,36.57,0.23,6.26,0.07,26.74,0.00,0.000,554,27.51,6.47,47
5000,206,68,73.44,0.57,1.53,2.25,66.37,0.10,0.029,764,42.36,18.52,32
5000,664,42,40.59,0.31,14.17,0.31,11.21,0.00,0.000,1005,29.83,19.35,27
5000,109,33,26.31,0.33,0.00,0.00,24.94,0.00,0.000,1083,49.03,14.23,24
5000,64,27,29.23,0.56,0.00,0.11,21.96,0.00,0.000,1949,49.03,48.11,22
5000,130,27,54.96,0.00,1.07,0.00,41.33,0.00,0.000,1551,73.49,46.45,16
5000,18,27,30.03,1.74,1.22,0.00,22.59,0.41,0.185,802,42.88,19.55,15
5000,158,26,52.47,5.73,3.96,0.00,18.69,0.73,0.077,696,29.90,7.11,15
5000,47,20,22.38,4.10,1.30,0.45,14.00,0.05,0.000,215,13.29,0.18,8
5000,79,14,38.88,0.00,5.00,0.00,22.36,0.00,0.000,3061,63.60,89.75,14
5000,481,12,31.66,0.00,0.50,0.00,26.83,0.00,0.000,2166,79.89,74.88,9
5000,7,12,24.05,0.00,1.25,0.00,16.58,0.00,0.000,1532,34.22,24.18,8
5000,342,10,32.87,3.50,2.00,0.00,22.60,0.40,0.200,1216,49.38,16.73,9
5000,26,10,33.86,0.00,14.50,0.00,19.20,0.00,0.000,1182,41.50,15.88,5
5000,80,9,41.62,2.89,0.00,8.11,28.67,0.00,0.000,1934,84.56,33.04,9
5000,14,8,72.43,17.50,0.00,0.00,27.75,0.00,0.000,1231,62.44,14.15,5
5000,231,7,31.13,0.00,0.00,0.00,22.14,0.00,0.000,2361,68.55,49.43,7
5000,185,6,22.98,0.33,0.00,2.67,17.67,0.00,0.000,2039,59.25,61.00,6
5000,52,6,24.47,0.00,0.00,1.17,19.50,0.00,0.000,3207,159.87,33.41,6
5000,253,5,36.33,2.20,0.40,0.00,24.60,0.00,0.000,2196,79.72,35.23,5
6000,1,10141,33.23,1.23,8.67,0.53,19.47,0.24,0.056,389,21.36,7.48,5232
6000,69,471,31.52,1.27,8.10,0.13,21.38,0.30,0.076,453,26.29,3.97,318
6000,715,259,40.54,0.35,11.10,0.19,17.91,0.05,0.019,778,26.25,18.83,141
6000,89,181,34.02,0.24,6.20,0.05,25.72,0.06,0.017,393,22.91,4.86,109
6000,158,120,49.92,4.25,6.03,0.35,21.31,0.88,0.142,475,27.60,8.56,70
6000,720,76,32.51,0.47,2.68,0.00,27.12,0.00,0.000,552,31.55,12.08,46
6000,664,68,39.44,0.00,13.13,0.29,11.93,0.00,0.000,892,29.39,16.34,41
6000,20,49,20.05,0.02,2.14,5.71,13.57,0.00,0.000,871,38.10,14.57,35
6000,130,38,44.06,0.00,0.11,0.05,33.42,0.00,0.000,1460,63.53,39.60,23
6000,18,17,32.99,5.24,1.94,0.00,18.35,0.59,0.294,888,42.12,15.80,13
6000,79,14,34.15,0.29,4.64,0.00,19.00,0.21,0.071,2724,49.29,74.41,13
6000,64,14,19.30,0.07,0.00,0.00,15.29,0.00,0.000,1761,35.56,42.20,13
6000,52,13,54.46,0.00,0.00,3.08,40.69,0.00,0.000,1716,82.87,36.09,9
6000,109,8,19.08,0.00,0.00,0.00,17.75,0.00,0.000,1678,60.61,43.05,8
6000,231,8,32.90,0.00,0.00,0.00,29.75,0.00,0.000,519,26.97,7.53,8
6000,481,6,29.01,0.00,3.00,0.00,23.33,0.00,0.000,1735,43.89,52.35,6
6000,253,5,49.31,1.20,0.00,0.00,39.20,0.00,0.000,1166,45.23,24.65,4
7000,1,9342,34.89,0.93,9.59,0.43,19.35,0.16,0.047,348,19.29,8.16,5044
7000,89,241,33.79,0.16,6.79,0.05,25.80,0.01,0.004,348,20.92,2.91,111
7000,69,157,29.37,1.32,8.44,0.05,17.57,0.32,0.102,447,21.78,3.89,117
7000,715,131,49.43,2.57,11.94,0.03,20.54,0.23,0.061,644,27.97,13.87,88
7000,664,68,43.82,0.38,13.38,0.31,13.79,0.03,0.015,1216,35.33,23.11,40
7000,130,53,41.98,0.00,0.21,0.13,31.06,0.00,0.000,1472,61.04,39.91,29
7000,720,38,28.72,0.61,4.97,0.00,21.45,0.00,0.000,1106,49.16,24.88,32
7000,787,16,81.34,0.00,9.62,0.00,43.94,0.00,0.000,3651,136.92,95.20,15
7000,20,12,11.90,0.00,1.58,0.33,9.42,0.00,0.000,1074,35.51,13.42,8
7000,79,11,46.24,0.00,4.09,0.00,28.91,0.00,0.000,1361,33.14,30.50,8
7000,481,8,42.82,0.00,2.00,0.00,34.00,0.00,0.000,529,17.03,12.36,6
7000,52,7,56.07,0.00,0.00,2.57,43.00,0.00,0.000,2104,92.02,47.06,7
7000,158,7,52.12,7.43,3.29,0.00,15.57,0.86,0.000,1922,75.17,22.46,6
7000,809,5,65.34,0.00,0.00,0.00,49.80,0.00,0.000,2145,76.32,47.85,3
7000,253,5,40.43,1.20,0.00,0.00,30.80,0.00,0.000,905,41.96,41.07,4
8000,1,5259,31.34,0.73,8.89,0.65,19.94,0.13,0.040,369,20.81,6.94,2705
8000,89,262,35.46,0.08,7.14,0.02,27.79,0.00,0.000,323,20.86,2.00,125
8000,69,107,30.81,1.03,10.25,0.00,18.10,0.35,0.084,518,27.02,4.53,67
8000,664,64,40.68,0.05,12.77,0.25,12.69,0.05,0.016,1529,43.88,28.69,41
