step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land
1000,11991,8984,127093,785139,754343,646273,11773,54618,2064,0,242559,4942949,183806.238,73399.354,0.2811,69138.577,0.248,0.276,0.249,0.227,0.642,0.328,526,0.0221,0.6813,0.100,14.4,46.8,85.6,45.14,3.92,5.27,2.72,33.22,7.70,1.045,0.111,0.053,0.054,22.656,0.669,0.0022,145,451,1849,9886,78,0,0.000,6122,3611,3237,5143,781,3760,7450,0.00,1.06,11566,34.4369,66712,9484,539413,3104.5,-0.0,466074,57.725,2631002.543,1.59e-15,0.00093,30.00,231000,89.554,1.668,86.985,0.901,89.555,9197,1021,1773,0.4196,0.830,1.026,1.280,1.047,0.902,1.118,37453.796,12489.890,179283.965,38029.863,35630.989,3160.350,550.794,549.633,0.696,0.568,0.554,0.880,0.727,0.665,7011,56458,0.7076,0.6665,0.6566,0.9998,0.0531,0.0508,0.5512,0.7835,0.8190,0.0993,0.0476,0.0316,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,17473,1.0000,0.8177,0.7280,0.9989,0.0531,0.0508,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1025,5.0832,5.0259,0.1156,0.2065,0.1785,0.366,0.448,0.377,0.420,8465,0.1679,0.0092,0.0117,0.00236,0.00165,0.00149,23.37,27.21,27.60,94.7285,0.0236,72.8158,35.6170,22.1081,1080922,1531404,0.6943,0.0066,1708.8,94.7285,21.62
2000,10176,2670,44372,92537,83561,47639,526,17269,1749,0,229323,2132470,30663.792,13717.215,0.2948,9492.386,0.159,0.539,0.141,0.161,0.550,0.333,1268,0.0570,0.6499,0.084,14.9,37.7,74.7,39.13,2.15,8.25,1.46,27.28,7.31,1.055,0.219,0.065,0.066,10.675,0.390,0.0026,121,1058,1014,12325,48,0,0.000,5397,717,2360,7099,488,890,8798,0.00,8.18,13356,14.0336,66813,10950,499549,2113.9,-0.0,525183,21.386,2631002.543,2.51e-14,0.00068,25.34,30777,22.830,1.708,20.677,0.445,22.831,2521,3152,4503,0.3881,0.852,1.029,1.295,1.130,0.902,1.120,13843.732,10183.012,9864.933,13773.065,16518.180,2266.409,1239.332,719.088,0.590,0.512,0.547,0.544,0.514,0.507,13969,18779,0.6657,0.5391,0.5727,0.9997,0.0463,0.0638,0.5634,0.7971,0.8098,0.1286,0.0264,0.0242,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,6557,0.9986,0.6082,0.6513,0.9989,0.0463,0.0638,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0859,5.1330,5.0855,0.0586,0.1462,0.1257,0.222,0.232,0.188,0.227,1833,0.1083,0.0038,0.0031,0.00244,0.00106,0.00079,26.90,27.17,27.28,318.8996,0.0387,30.4941,13.6998,7.6862,1094540,1527844,1.4548,0.0518,2881.1,318.8996,26.00
3000,9020,2733,49514,102654,93245,52601,539,16311,1628,0,243946,2627295,35506.980,14527.031,0.2504,10709.542,0.099,0.691,0.119,0.091,0.550,0.328,1342,0.0812,0.6557,0.059,19.1,41.7,75.0,37.99,2.53,9.86,0.75,24.86,7.29,1.128,0.231,0.159,0.170,10.510,0.351,0.0026,107,402,941,15479,80,0,0.000,5211,17,1832,7171,216,1534,7270,2.50,10.62,16738,18.3841,66737,11712,466510,1839.1,-0.0,556840,14.902,2631002.543,1.03e-14,0.00103,14.43,33211,20.985,1.694,18.960,0.331,20.985,3763,2169,3088,0.2907,0.944,1.072,1.410,1.231,0.953,1.126,12996.338,13981.852,11346.242,12917.613,21952.668,1348.495,1305.737,1163.257,0.584,0.502,0.565,0.501,0.482,0.545,14861,25467,0.7165,0.4776,0.5010,0.9989,0.0471,0.0645,0.5966,0.8898,0.8734,0.1040,0.0409,0.0314,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,6282,0.9993,0.7793,0.7963,0.9971,0.0471,0.0645,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0442,5.1678,4.9957,0.0556,0.1030,0.0810,0.102,0.106,0.088,0.185,982,0.0855,0.0039,0.0037,0.00227,0.00095,0.00089,22.39,27.05,26.80,1282.9750,0.0557,35.2505,5.1869,9.7153,1095732,1527535,2.0012,0.1069,2965.8,1282.9750,22.38
4000,9026,3084,52498,121072,110675,68031,543,16150,2456,5,318117,3043288,41035.421,17616.927,0.2641,12365.277,0.100,0.724,0.104,0.071,0.571,0.309,1506,0.0867,0.6441,0.063,14.6,39.4,69.8,34.93,2.43,9.16,0.65,22.69,7.21,1.147,0.230,0.155,0.178,10.440,0.374,0.0024,99,428,1102,19388,238,0,0.000,5258,48,1732,7246,199,1087,7740,3.00,9.75,13097,16.3842,66781,13091,439532,1929.6,0.0,592308,15.330,2631002.543,1.52e-14,0.00039,37.93,38834,22.397,1.646,20.436,0.315,22.397,2995,2301,3730,0.2907,0.965,1.083,1.442,1.287,0.964,1.147,12414.920,13834.540,20463.115,12296.617,20640.965,2139.560,1702.722,1409.368,0.641,0.481,0.572,0.664,0.458,0.551,17270,28438,0.7236,0.3373,0.3933,0.9987,0.0427,0.0790,0.6213,0.8821,0.9013,0.1298,0.0403,0.0332,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,4235,0.9991,0.7696,0.7832,0.9981,0.0427,0.0791,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0249,4.9729,4.8610,0.0610,0.0870,0.0687,0.088,0.129,0.088,0.123,1208,0.0737,0.0057,0.0034,0.00242,0.00082,0.00093,26.88,27.26,27.70,1764.0987,0.0711,33.4476,7.1720,8.1581,1097976,1525509,2.0870,0.1262,2671.9,1764.0987,25.42
5000,9576,3087,55840,116533,105350,59871,822,16397,2071,5,275090,3261495,38844.198,15634.309,0.2796,10827.486,0.079,0.771,0.087,0.063,0.571,0.317,1167,0.0818,0.6687,0.063,14.0,39.9,68.2,33.01,2.02,9.63,0.77,20.59,7.11,1.195,0.239,0.161,0.189,10.427,0.365,0.0024,93,390,1148,20201,189,16,0.161,5602,52,2065,7459,288,1653,7635,4.25,11.65,15641,17.8485,66759,13857,412762,1839.9,-0.0,618858,13.731,2631002.543,1.08e-14,0.00099,12.68,38646,21.511,1.656,19.511,0.343,21.511,3888,2278,3410,0.2780,0.958,1.132,1.550,1.324,0.964,1.201,13724.066,15747.913,12386.547,13615.466,23669.669,1374.742,1218.840,2213.241,0.630,0.496,0.578,0.496,0.475,0.554,18608,30328,0.6506,0.2722,0.3725,0.9990,0.0335,0.0600,0.6470,0.9744,0.9399,0.1021,0.0192,0.0335,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,5682,0.9998,0.8281,0.8215,0.9985,0.0335,0.0600,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1219,4.8992,4.8990,0.0622,0.0866,0.0715,0.114,0.130,0.142,0.118,807,0.0695,0.0043,0.0026,0.00228,0.00086,0.00101,25.36,26.87,27.16,1423.4556,0.0610,37.8084,5.1760,8.5549,1099030,1523976,1.4571,0.0919,2760.8,1423.4556,23.03
6000,9507,3771,54762,120486,109088,65107,617,17108,2408,13,302293,3495714,41375.162,16427.424,0.2659,11403.106,0.077,0.778,0.071,0.074,0.580,0.309,1001,0.0849,0.6477,0.055,20.8,48.7,83.1,39.81,2.77,9.26,0.81,26.98,7.25,1.224,0.199,0.192,0.221,11.596,0.377,0.0024,95,424,1530,19234,289,16,0.498,5615,337,1301,7869,1084,1982,6441,2.75,9.90,13125,19.2323,66770,14836,387004,2130.8,-0.0,650638,15.608,2631002.543,3.89e-15,0.00002,23.20,40895,24.175,1.685,22.097,0.393,24.175,5153,1607,2747,0.2130,0.975,1.192,1.554,1.319,0.961,1.200,12647.816,13004.872,20518.962,12542.773,19716.533,2043.912,1284.549,1695.857,0.652,0.498,0.562,0.560,0.491,0.569,22322,31622,0.5194,0.2550,0.3344,0.9996,0.0365,0.0705,0.5750,0.8110,0.8842,0.0968,0.0243,0.0313,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,2691,0.9991,0.7733,0.7968,0.9990,0.0366,0.0705,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1180,4.7668,4.8274,0.0585,0.1041,0.0735,0.079,0.137,0.077,0.154,989,0.0542,0.0054,0.0038,0.00217,0.00080,0.00087,22.59,27.48,27.38,1598.1482,0.0756,32.7694,7.2964,8.3113,1099274,1522738,0.7613,0.0296,2681.9,1598.1482,19.40
7000,10126,3538,47599,98571,88178,50224,748,15178,2196,9,252245,3075211,35283.100,13856.872,0.2745,9528.659,0.094,0.771,0.076,0.058,0.569,0.321,765,0.0708,0.6352,0.067,16.5,43.8,80.3,36.71,2.20,8.54,0.86,25.12,7.33,1.199,0.198,0.154,0.176,10.367,0.382,0.0023,96,512,1581,13954,396,17,0.544,5713,943,1359,7824,872,1278,7976,3.34,10.86,11911,17.0421,66841,16290,364212,2531.1,-0.0,684587,15.347,2631002.543,4.25e-15,0.00036,24.47,32014,21.163,1.675,19.100,0.387,21.163,4251,2142,3733,0.2500,0.964,1.141,1.543,1.328,0.957,1.191,9980.905,11774.553,17619.809,9915.714,17276.235,2049.865,1033.779,1244.569,0.621,0.480,0.566,0.538,0.429,0.555,29617,25526,0.5761,0.1848,0.2811,0.9997,0.0441,0.0756,0.6083,0.9460,0.8919,0.0960,0.0291,0.0249,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,2955,0.9989,0.8333,0.7597,0.9991,0.0442,0.0756,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0031,4.7960,4.9184,0.0597,0.1016,0.0890,0.064,0.214,0.204,0.222,1116,0.0579,0.0055,0.0038,0.00213,0.00067,0.00072,26.34,27.39,27.11,1488.0626,0.0790,27.6306,8.6350,6.7122,1101963,1520528,0.5859,0.0140,2703.9,1488.0626,21.78
8000,9127,2605,49511,113966,104572,63772,683,12069,1670,20,217628,2372034,38656.198,14075.291,0.2725,10369.249,0.101,0.750,0.087,0.061,0.540,0.339,622,0.0698,0.6317,0.057,21.7,47.6,89.0,44.27,2.04,8.71,0.57,32.95,7.52,1.172,0.188,0.156,0.173,9.686,0.289,0.0022,75,422,1283,13775,274,21,0.495,4877,399,729,7999,937,1024,7166,3.75,11.51,12543,16.9664,66741,14214,341580,4913.9,-0.0,710149,11.744,2631002.543,6.90e-15,0.00044,7.77,35805,19.346,1.706,17.265,0.375,19.346,3524,2138,3465,0.2846,0.920,1.091,1.553,1.327,0.936,1.158,12501.250,14758.527,15375.066,12375.918,21274.463,1555.946,771.935,1378.161,0.583,0.477,0.538,0.589,0.505,0.583,31116,32043,0.5430,0.1784,0.2058,0.9997,0.0420,0.0742,0.5921,0.7082,0.8119,0.0813,0.0259,0.0222,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,3764,0.9983,0.7517,0.6982,0.9984,0.0420,0.0742,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0006,4.8279,4.9831,0.0492,0.0740,0.0598,0.043,0.135,0.072,0.104,944,0.0595,0.0051,0.0039,0.00223,0.00082,0.00091,23.55,28.07,28.24,1361.5340,0.0638,34.1167,5.8743,5.8702,1104222,1518949,1.0416,0.1059,2830.9,1361.5340,16.84
9000,6784,2381,51941,116504,108608,63980,583,11938,1140,10,186020,2382277,37906.086,14018.221,0.2651,10935.638,0.071,0.758,0.115,0.056,0.557,0.335,899,0.0815,0.6242,0.054,21.8,47.7,80.9,38.98,2.01,9.23,0.57,27.16,7.29,1.208,0.200,0.186,0.207,10.522,0.364,0.0023,66,365,1239,12234,325,21,0.286,3773,16,950,5818,245,977,5562,5.00,12.39,16047,17.8974,66735,13072,318185,3202.0,-0.0,727976,11.907,2631002.543,1.08e-14,0.00058,30.68,39396,19.361,1.662,17.497,0.202,19.362,2668,1447,2669,0.2410,0.966,1.121,1.563,1.393,0.957,1.160,12104.790,16983.170,12409.451,12031.663,24400.611,1279.232,787.641,1015.710,0.609,0.509,0.544,0.538,0.500,0.584,26153,38491,0.6472,0.2061,0.2425,0.9994,0.0384,0.0756,0.6137,0.9506,0.8519,0.0945,0.0255,0.0202,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,1700,0.9994,0.8364,0.7723,0.9984,0.0384,0.0756,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1812,4.9086,5.0839,0.0519,0.0741,0.0637,0.048,0.145,0.077,0.108,1005,0.0853,0.0031,0.0044,0.00223,0.00088,0.00108,25.07,27.63,28.20,1346.1555,0.0545,36.9429,5.5571,6.3502,1106526,1518617,1.8913,0.1940,2960.2,1346.1555,18.95
10000,9597,2594,46420,105486,97460,58483,583,10019,1239,9,187687,2273281,36330.650,12988.183,0.2542,10005.784,0.078,0.795,0.079,0.048,0.556,0.337,539,0.0544,0.6156,0.067,22.0,49.8,88.2,41.83,2.33,9.62,0.40,29.48,7.43,1.215,0.196,0.194,0.215,9.827,0.278,0.0021,77,363,1051,14808,267,19,0.213,5188,23,1206,8368,682,1508,7407,4.00,11.45,18807,21.6353,66751,13869,302700,3014.2,0.0,738373,10.002,2631002.543,5.84e-15,0.00245,11.37,35281,17.990,1.687,15.939,0.364,18.018,4104,2109,3384,0.2642,0.966,1.142,1.563,1.377,0.962,1.175,10116.428,15403.987,13893.270,10032.621,22410.543,1192.175,753.599,1036.625,0.589,0.499,0.567,0.563,0.476,0.595,25076,28805,0.5899,0.2018,0.2289,0.9997,0.0367,0.0679,0.5801,0.9003,0.8589,0.0818,0.0350,0.0311,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,2811,0.9995,0.7774,0.6959,0.9990,0.0367,0.0679,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3860,4.7683,4.7894,0.0450,0.0505,0.0390,0.046,0.073,0.086,0.050,724,0.0728,0.0025,0.0036,0.00235,0.00090,0.00125,27.74,27.93,28.51,1322.4230,0.0538,33.0635,4.4782,5.5234,1106360,1516259,2.2738,0.2021,3079.1,1322.4230,19.36
