step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea
1000,18974,14248,134231,907512,872013,755495,17786,70615,2519,0,244478,6855807,184363.735,76989.464,0.2741,72801.435,0.225,0.291,0.260,0.224,0.650,0.321,1312,0.0192,0.7265,0.189,11.3,41.5,77.7,40.85,3.56,4.81,2.46,30.01,7.60,1.028,0.117,0.045,0.046,22.869,0.685,0.0023,163,475,2213,13794,107,0,0.000,9066,5248,3983,9743,1776,5483,11715,0.00,1.27,11331,33.5517,66724,8062,538568,2248.1,-0.0,460407,55.078,2631002.543,1.35e-14,0.00093,30.00,266283,146.956,2.002,142.023,2.932,146.957,12923,2641,3410,0.4609,0.830,1.014,1.239,1.027,0.895,1.133,38077.932,12734.296,185902.607,38681.523,32581.041,2640.855,924.439,622.735,0.714,0.535,0.541,0.888,0.716,0.685,6581,47555,0.5198,0.9997,0.9996,0.0437,1.0000,1.0000,0.5558,0.8739,0.8878,0.1033,0.0376,0.0327,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,18544,0.9999,0.7899,0.7681,0.9983,0.0595,0.0508,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.1198,0.1898,0.1615,0.349,0.396,0.364,0.371,0,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,22.50,22.50,22.50,0.0000,0.0000,70.5075,28.6029,26.4753,1072397,1529257,0.0000,0.0000
2000,15109,6164,57777,110758,95238,51676,1305,42673,4411,1,394209,3852475,35959.187,17223.804,0.2899,10081.583,0.133,0.548,0.170,0.149,0.491,0.371,4723,0.0923,0.7233,0.189,8.0,26.7,71.7,30.20,2.64,5.93,1.08,20.55,7.51,1.058,0.219,0.043,0.047,12.612,0.564,0.0033,178,1127,1827,34360,189,0,0.000,8092,1506,3064,10539,752,1745,12612,0.00,10.95,10958,11.9301,66826,4863,488797,1273.2,-0.0,528900,37.335,2631002.543,1.17e-14,0.00068,25.34,34789,50.598,2.190,47.065,1.343,50.599,4079,4113,6917,0.3690,0.923,1.035,1.227,1.072,0.947,1.116,15695.018,13331.363,10201.981,15618.391,20220.399,2382.291,3109.113,1650.817,0.522,0.433,0.543,0.533,0.420,0.509,4166,6941,0.5981,0.9999,1.0000,0.0997,1.0000,1.0000,0.5625,1.0830,0.9403,0.1774,0.0382,0.0276,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,7616,0.9995,0.8622,0.7925,0.9986,0.0432,0.0533,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0864,0.0933,0.0818,0.145,0.196,0.137,0.202,0,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,22.50,22.50,22.50,0.0000,0.0000,36.2114,19.6817,17.6530,1092106,1525352,0.0000,0.0000
3000,13715,4429,49404,85038,69892,34730,904,37140,4536,1,364155,3836433,28631.079,13212.164,0.3121,6107.775,0.077,0.733,0.097,0.094,0.459,0.385,5079,0.1213,0.7765,0.202,7.7,25.3,60.5,26.72,2.03,7.40,0.53,16.76,7.18,1.081,0.267,0.060,0.068,10.212,0.452,0.0035,163,599,1920,27881,229,0,0.000,7642,126,1992,11597,804,2121,10790,1.25,17.12,10785,13.8077,66750,5543,452601,964.0,-0.0,568458,23.633,2631002.543,2.97e-14,0.00102,14.43,26654,35.768,2.072,32.756,0.940,35.769,4572,4566,4577,0.4249,0.939,1.025,1.330,1.131,0.959,1.153,11595.059,8682.669,11297.243,11470.934,11970.677,2451.711,2484.414,2168.265,0.502,0.409,0.492,0.489,0.338,0.444,3889,6070,0.5280,1.0000,0.9999,0.1299,1.0000,1.0000,0.6832,1.1043,0.9782,0.1293,0.0303,0.0388,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,3051,0.9997,0.8691,0.8386,0.9969,0.0411,0.0743,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0800,0.0554,0.0518,0.085,0.118,0.085,0.126,0,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,22.50,22.50,22.50,0.0000,0.0000,23.9060,7.5385,16.0948,1095488,1525111,0.0000,0.0000
4000,12069,4245,55589,100122,82441,43641,892,38964,5593,18,450203,4713424,31223.392,16916.927,0.3268,7720.439,0.061,0.812,0.063,0.064,0.480,0.369,6121,0.1547,0.7816,0.189,8.0,25.9,54.5,25.18,1.55,7.91,0.39,15.33,7.10,1.120,0.282,0.055,0.066,8.815,0.466,0.0035,154,514,2158,31753,324,0,0.000,6804,114,1832,10123,798,1578,9693,6.00,20.20,6828,10.7171,66793,5232,420696,932.9,-0.0,608182,22.664,2631002.543,2.04e-14,0.00039,37.93,31620,37.516,2.038,34.714,0.764,37.517,3221,4322,4526,0.4343,0.946,1.032,1.415,1.192,0.971,1.212,12558.269,8113.897,15303.852,12396.266,11243.712,3439.731,2623.481,3133.276,0.495,0.438,0.520,0.546,0.323,0.454,3908,9829,0.5749,0.9998,0.9996,0.1148,0.9999,1.0000,0.7356,1.0958,1.0158,0.1300,0.0236,0.0305,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,2831,0.9987,0.8932,0.8592,0.9975,0.0413,0.0796,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0766,0.0514,0.0467,0.068,0.098,0.054,0.104,0,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,22.50,22.50,22.50,0.0000,0.0000,24.1365,7.4661,15.1984,1099388,1523586,0.0000,0.0000
5000,13872,4100,48718,78069,60863,28748,603,34211,4684,18,407836,4346886,27578.565,12625.452,0.3084,4763.433,0.049,0.846,0.050,0.056,0.479,0.365,3624,0.1274,0.7860,0.175,10.0,26.6,52.1,24.66,0.99,8.58,0.45,14.65,6.96,1.156,0.297,0.041,0.049,7.572,0.424,0.0034,161,551,1691,29334,285,17,0.464,7521,119,2173,11580,681,1873,11318,12.00,23.37,7569,10.8379,66749,5432,389515,777.0,-0.0,641419,20.352,2631002.543,7.79e-15,0.00121,12.68,24789,33.653,2.142,30.449,1.062,33.654,3832,4961,5079,0.4206,0.970,1.039,1.482,1.271,0.981,1.241,12840.406,8292.653,8918.098,12645.163,10778.737,2664.156,2136.875,3060.988,0.426,0.492,0.501,0.426,0.319,0.395,4048,5973,0.5349,1.0000,0.9996,0.1390,1.0000,1.0000,0.7919,1.0898,0.9874,0.0740,0.0184,0.0277,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,2029,0.9993,0.9216,0.8375,0.9975,0.0451,0.0764,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0646,0.0515,0.0495,0.076,0.116,0.116,0.101,0,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,22.50,22.50,22.50,0.0000,0.0000,23.8884,5.3271,15.0252,1101877,1520838,0.0000,0.0000
6000,12981,3675,50583,80372,62290,29200,589,37052,4602,8,434295,4553280,28319.002,13352.180,0.3072,5014.124,0.044,0.858,0.044,0.054,0.467,0.370,3234,0.1519,0.7921,0.184,11.0,24.7,51.9,23.95,0.88,8.17,0.67,14.23,6.85,1.181,0.291,0.037,0.045,7.096,0.419,0.0035,166,547,1436,29883,213,19,0.489,6714,229,1656,11096,1010,1820,10151,17.00,28.54,7431,11.6595,66760,5006,357279,820.8,-0.0,676334,21.512,2631002.543,6.55e-15,0.00002,23.20,26002,35.375,2.132,32.324,0.919,35.376,3935,4802,4244,0.4561,0.983,1.018,1.603,1.313,0.986,1.278,12489.519,7724.807,10993.056,12317.638,10022.432,3341.451,1970.685,3025.920,0.417,0.498,0.472,0.428,0.296,0.397,4169,8027,0.4933,0.9999,0.9996,0.1095,1.0000,1.0000,0.8244,1.0850,0.9770,0.0642,0.0147,0.0286,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,1785,0.9997,0.9203,0.8359,0.9977,0.0427,0.0655,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0623,0.0654,0.0592,0.115,0.154,0.148,0.138,0,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,22.50,22.50,22.50,0.0000,0.0000,22.7524,5.9072,15.6049,1104421,1519224,0.0000,0.0000
7000,10725,3117,45587,68737,53612,22472,678,34721,3106,7,306143,3740316,25344.988,9648.012,0.3009,3890.968,0.050,0.844,0.036,0.070,0.439,0.395,1916,0.1641,0.8053,0.198,11.2,24.3,55.1,24.48,0.71,7.81,0.91,15.05,6.79,1.173,0.271,0.031,0.036,7.146,0.447,0.0036,160,536,1122,20123,189,16,0.299,5336,739,1229,8757,658,1533,8534,17.75,29.52,9001,13.5760,66832,4263,326712,873.9,-0.0,707650,19.604,2631002.543,8.85e-15,0.00017,24.47,21370,31.390,2.091,28.730,0.569,31.397,3862,3846,3017,0.4759,0.974,1.009,1.648,1.278,0.983,1.282,11148.220,6418.462,10251.863,10971.613,8012.480,2433.931,1298.934,2024.180,0.382,0.473,0.443,0.384,0.263,0.371,4266,8716,0.4456,1.0000,0.9998,0.1049,0.9999,1.0000,0.8420,1.0790,0.9479,0.0443,0.0147,0.0233,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,1293,0.9999,0.8781,0.8153,0.9986,0.0458,0.0707,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0627,0.0816,0.0767,0.172,0.207,0.178,0.216,0,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,22.50,22.50,22.50,0.0000,0.0000,19.3646,5.4061,14.1977,1106868,1518075,0.0000,0.0000
8000,11282,3126,46069,75101,60552,28378,654,29997,2844,8,300932,3382216,26552.940,10468.752,0.2989,4846.059,0.048,0.839,0.037,0.077,0.429,0.406,1745,0.1412,0.7870,0.208,11.0,24.9,55.8,24.45,0.61,7.64,0.90,15.30,6.81,1.199,0.265,0.028,0.033,6.940,0.434,0.0034,153,499,1045,15820,226,15,0.577,5590,252,1022,10008,1338,1298,8646,16.00,28.27,6878,11.9543,66733,4304,302084,990.5,-0.0,736705,17.633,2631002.543,6.73e-15,0.00004,7.77,23379,30.579,2.207,27.731,0.641,30.579,3882,3955,3445,0.4389,0.975,1.023,1.705,1.360,0.982,1.265,10229.477,6378.450,13483.113,10063.849,7852.037,3070.415,1093.877,1458.401,0.417,0.433,0.438,0.464,0.269,0.390,4282,11092,0.4733,1.0000,0.9999,0.0849,1.0000,1.0000,0.8186,1.0944,0.9274,0.0362,0.0126,0.0226,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,1571,0.9994,0.9090,0.8128,0.9982,0.0435,0.0693,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0606,0.0801,0.0767,0.173,0.208,0.134,0.260,0,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,22.50,22.50,22.50,0.0000,0.0000,18.2950,5.8435,11.7894,1109139,1515584,0.0000,0.0000
9000,10499,2651,41635,64999,51483,22649,715,30065,2593,9,275943,2965461,23199.153,8954.302,0.2953,3861.144,0.050,0.830,0.039,0.080,0.401,0.420,1302,0.1549,0.8042,0.209,10.0,22.9,54.2,23.84,0.65,6.94,0.82,15.44,6.83,1.180,0.252,0.031,0.035,6.665,0.416,0.0036,159,514,903,16814,163,15,0.632,4723,104,1139,9256,669,1717,8113,20.25,32.45,6509,10.7121,66725,4403,281765,808.9,0.0,759980,16.930,2631002.543,3.54e-15,0.00063,30.68,20469,28.044,2.082,25.465,0.497,28.045,3544,3849,3106,0.4740,0.961,1.010,1.746,1.309,0.975,1.285,9640.931,5940.990,10318.637,9495.806,7245.854,2529.817,1230.573,1332.768,0.359,0.411,0.434,0.448,0.253,0.363,4342,8427,0.4952,0.9996,0.9999,0.0936,1.0000,1.0000,0.7798,1.1725,0.9548,0.0401,0.0097,0.0255,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,1324,0.9998,0.9295,0.8449,0.9984,0.0462,0.0690,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0622,0.0819,0.0780,0.188,0.202,0.106,0.272,0,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,22.50,22.50,22.50,0.0000,0.0000,17.0591,5.0820,11.8483,1111475,1513847,0.0000,0.0000
10000,9316,2928,42806,67040,53153,23299,935,32574,2431,10,248525,3125462,22960.021,8414.619,0.2974,3795.540,0.055,0.819,0.039,0.088,0.410,0.421,1369,0.1711,0.8235,0.216,10.9,20.0,49.5,22.14,0.62,6.78,1.14,13.61,6.87,1.180,0.267,0.033,0.037,6.676,0.472,0.0037,158,483,876,18318,125,16,0.612,4180,47,1100,8169,451,1138,7727,20.75,30.93,7080,10.2922,66743,3872,263549,554.7,-0.0,780068,17.612,2631002.543,1.77e-14,0.00020,11.37,20444,28.334,2.040,25.910,0.384,28.377,2816,3441,3059,0.4571,0.978,1.013,1.753,1.346,0.985,1.247,10351.977,6150.288,8679.471,10202.921,7873.168,1961.118,1109.181,1548.780,0.372,0.418,0.436,0.391,0.286,0.420,3983,7724,0.5298,0.9998,1.0000,0.1011,1.0000,1.0000,0.8715,1.2064,0.9788,0.0419,0.0128,0.0263,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,1250,0.9996,0.9595,0.8331,0.9985,0.0452,0.0641,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0664,0.1039,0.0997,0.243,0.271,0.107,0.397,0,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,22.50,22.50,22.50,0.0000,0.0000,18.3852,5.1247,12.4874,1114147,1511999,0.0000,0.0000
