step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown
1000,21025,15013,158580,703069,649788,543904,585,38352,5674,0,1402709,21774455,182465.305,84790.580,0.3011,58389.400,0.019,0.948,0.019,0.013,0.775,0.180,4115,0.0658,0.6577,0.050,19.8,42.1,52.7,28.39,5.44,8.44,0.03,14.47,6.01,1.171,0.225,0.619,0.649,20.388,0.533,0.0014,132,416,1692,33406,85,0,0.000,11890,6638,5803,8584,1668,7139,12218,1.25,3.20,29847,48.0494,66700,7293,545359,3645.4,-0.0,429489,39.943,2624442.254,1.06e-14,0.00092,30.00,164680,87.857,1.842,85.138,0.876,87.858,16116,788,4121,0.0581,1.048,1.176,1.284,1.177,0.944,1.192,37392.376,23738.446,146414.471,37459.583,56980.651,15083.577,2205.621,9111.982,0.843,0.683,0.655,0.847,0.713,0.633,4723,57002,0.7451,0.5248,0.6437,0.9998,0.0262,0.0595,0.5224,0.7973,0.8799,0.2292,0.0386,0.0600,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,41203,0.9995,0.6523,0.6433,0.9992,0.0262,0.0595,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6799,5.4207,5.4098,0.0984,0.0062,0.0044,0.005,0.005,0.003,0.008,3324,0.0963,0.0007,0.0023,0.00233,0.00148,0.00135,22.82,27.24,27.08,1017.3831,0.1339,94.2575,24.4407,15.5022,1070244,1524440,0.5588,0.0054,860.1,1017.3831,21.62,0,0,0,0,0,0
2000,11762,5582,53704,124343,112108,70417,222,18556,1796,0,373427,7741112,40521.209,21799.864,0.3994,12478.774,0.016,0.956,0.017,0.011,0.715,0.220,1317,0.0722,0.6529,0.045,19.9,40.3,53.9,29.85,4.66,8.03,0.10,17.06,6.17,1.147,0.213,0.496,0.523,15.749,0.471,0.0018,115,1113,1579,9132,107,0,0.000,6986,2291,3335,6136,628,2476,8658,2.25,6.47,22693,25.6819,66797,10273,511114,2960.8,-0.0,495432,28.402,2624442.254,3.39e-14,0.00005,25.34,37617,31.039,1.836,28.838,0.365,31.040,6917,1679,3166,0.1749,0.955,1.159,1.302,1.171,0.915,1.216,10704.034,8465.497,28832.707,10674.772,13492.504,6404.856,710.974,2205.260,0.804,0.527,0.521,0.640,0.545,0.448,11597,32376,0.7061,0.3781,0.4622,0.9998,0.0627,0.1013,0.5245,0.7818,0.7873,0.2296,0.0393,0.0594,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,7594,0.9985,0.5604,0.6008,0.9991,0.0627,0.1013,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6740,5.3468,5.5950,0.0787,0.0161,0.0113,0.023,0.013,0.014,0.019,2645,0.1137,0.0046,0.0054,0.00226,0.00106,0.00086,27.08,27.30,27.60,1368.7629,0.0723,24.4461,22.1879,6.2146,1087246,1523835,1.1754,0.0514,1268.0,1368.7629,26.00,0,0,0,0,0,0
3000,11198,3528,67783,162074,147626,93791,500,18248,2808,0,442260,5472377,45521.063,23603.287,0.3090,15062.199,0.031,0.926,0.026,0.018,0.627,0.286,1600,0.0803,0.6732,0.076,17.6,38.2,57.2,31.33,3.07,7.72,0.13,20.40,6.35,1.119,0.214,0.332,0.353,9.927,0.370,0.0021,93,428,1780,15401,125,0,0.000,6196,50,1859,9289,470,1637,9091,4.25,10.06,17712,20.0556,66688,9218,477240,3024.3,-0.0,541947,18.110,2624442.254,3.37e-15,0.00365,14.43,48750,29.144,1.920,26.830,0.394,29.145,4979,2602,3617,0.2759,0.935,1.139,1.305,1.160,0.938,1.194,15226.692,13715.461,23240.750,15061.218,22281.294,4249.148,1515.173,2776.767,0.716,0.543,0.546,0.620,0.544,0.571,12059,36063,0.7008,0.4289,0.3985,0.9994,0.0499,0.0681,0.5639,0.7557,0.7975,0.1917,0.0203,0.0355,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,9803,0.9984,0.5921,0.5880,0.9987,0.0499,0.0681,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6495,5.0693,5.3504,0.0568,0.0235,0.0205,0.036,0.020,0.020,0.039,1425,0.0651,0.0047,0.0035,0.00240,0.00114,0.00109,22.74,27.62,27.38,1559.7908,0.0789,37.8915,10.6649,7.4449,1094044,1521523,1.7922,0.1062,1451.1,1559.7908,22.38,0,0,0,0,0,0
4000,8480,2493,52051,98492,86270,46185,256,16075,2437,0,359934,3621079,30962.734,15480.815,0.2808,9163.031,0.024,0.924,0.022,0.029,0.555,0.332,1323,0.1042,0.6863,0.083,16.7,37.8,53.8,30.00,3.13,8.68,0.17,18.02,6.35,1.143,0.236,0.333,0.356,8.866,0.370,0.0025,93,401,1859,11574,227,0,0.000,4925,40,1766,6674,227,1183,7070,7.25,13.22,20501,19.6989,66742,11225,451623,1940.6,0.0,571164,13.283,2624442.254,1.21e-14,0.00037,37.93,30123,20.847,1.847,18.760,0.240,20.847,3644,1955,2881,0.2677,0.954,1.141,1.388,1.165,0.950,1.246,11780.188,10216.726,11745.940,11686.577,16693.248,2635.933,1343.413,2338.438,0.639,0.486,0.503,0.460,0.462,0.482,14963,26341,0.7631,0.4503,0.4119,0.9990,0.0464,0.0619,0.5734,0.8892,0.8599,0.1929,0.0291,0.0425,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,8997,0.9985,0.6984,0.6713,0.9977,0.0464,0.0619,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5810,4.9599,5.2791,0.0535,0.0225,0.0200,0.068,0.023,0.026,0.040,919,0.0568,0.0052,0.0044,0.00250,0.00098,0.00100,26.81,26.36,27.29,1460.8080,0.0743,28.7623,6.5317,6.7514,1097647,1520709,1.9699,0.1276,1714.4,1460.8080,25.42,0,0,0,0,0,0
5000,9116,2922,59226,115522,102208,55762,534,18104,2918,4,408310,3931962,36341.744,16808.941,0.2716,9876.688,0.029,0.912,0.039,0.020,0.548,0.335,2017,0.1093,0.6877,0.078,17.0,39.0,56.5,31.25,3.04,9.07,0.25,18.89,6.41,1.159,0.242,0.322,0.340,8.379,0.378,0.0025,94,379,1645,14995,303,1,0.619,5298,163,1985,6968,253,1777,7086,7.75,13.65,21618,21.1163,66736,11932,428719,2339.0,-0.0,598524,14.244,2624442.254,1.17e-14,0.00083,12.68,36479,24.464,1.923,22.226,0.315,24.464,4200,1705,3211,0.2282,0.962,1.150,1.400,1.178,0.953,1.244,13793.971,11344.074,14583.086,13610.238,18025.109,2773.718,1578.562,2579.973,0.598,0.484,0.534,0.451,0.475,0.516,18682,28598,0.6710,0.3549,0.3539,0.9985,0.0481,0.0635,0.5689,0.8565,0.8638,0.1830,0.0213,0.0288,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,7824,0.9983,0.7236,0.6998,0.9980,0.0481,0.0636,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5742,4.9469,5.2236,0.0502,0.0314,0.0235,0.061,0.028,0.033,0.041,1142,0.0649,0.0036,0.0039,0.00263,0.00096,0.00087,25.37,26.43,27.26,1598.7897,0.0863,32.1116,6.7123,7.5313,1099561,1518592,1.4127,0.0934,1814.5,1598.7897,23.03,0,0,0,0,0,0
6000,10780,3230,61770,140731,127833,77880,1081,16451,2321,6,385067,3680307,43098.334,17519.744,0.2604,11252.345,0.031,0.887,0.033,0.049,0.546,0.342,1355,0.0830,0.6679,0.076,17.7,41.1,63.3,33.43,3.40,8.75,0.30,20.99,6.51,1.148,0.224,0.294,0.306,8.293,0.357,0.0023,85,375,1021,13474,217,2,0.647,5954,362,1552,8866,1426,1705,7649,6.75,13.05,16373,20.9236,66747,12969,403313,2977.3,-0.0,633233,14.213,2624442.254,2.38e-14,0.00010,23.20,42646,25.210,1.856,22.927,0.426,25.210,5375,2220,3185,0.2641,0.921,1.138,1.403,1.180,0.932,1.245,13032.033,12005.911,23472.176,12863.153,18015.350,3441.292,1011.168,1814.939,0.582,0.515,0.511,0.583,0.512,0.565,22667,34698,0.5040,0.2813,0.2868,0.9991,0.0461,0.0598,0.5324,0.8762,0.8337,0.1819,0.0114,0.0226,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,5534,0.9988,0.6592,0.6838,0.9985,0.0461,0.0599,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5187,5.1052,5.1780,0.0463,0.0348,0.0290,0.093,0.031,0.044,0.061,1096,0.0617,0.0042,0.0040,0.00254,0.00111,0.00108,22.58,27.59,27.57,1660.3459,0.0941,31.2586,7.4269,6.7861,1099952,1516934,0.7508,0.0293,1845.5,1660.3459,19.40,0,0,0,0,0,0
7000,8841,2929,53107,102487,90450,49004,376,16992,2139,2,358681,3423182,35849.470,15386.748,0.2709,9314.463,0.040,0.884,0.040,0.036,0.531,0.351,1192,0.1025,0.6553,0.078,19.3,41.8,66.6,34.86,2.92,9.89,0.19,21.86,6.66,1.176,0.237,0.254,0.265,9.252,0.385,0.0025,96,441,769,11655,58,2,0.630,5297,1052,1176,6613,1001,1349,6491,7.25,13.70,14385,19.1760,66817,15532,377796,2286.1,-0.0,668161,14.966,2624442.254,1.14e-14,0.00040,24.47,33065,23.213,1.849,21.064,0.301,23.214,4212,1523,3106,0.2236,0.937,1.150,1.511,1.186,0.938,1.279,10148.336,10527.223,19532.395,9998.435,15633.103,3058.436,873.602,2140.248,0.558,0.497,0.511,0.515,0.446,0.470,28213,29486,0.5617,0.1632,0.2684,0.9995,0.0447,0.0589,0.5520,0.8660,0.8779,0.1462,0.0206,0.0244,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,5125,0.9993,0.7149,0.7235,0.9985,0.0447,0.0590,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4493,4.8870,5.0702,0.0480,0.0283,0.0185,0.044,0.018,0.024,0.039,1302,0.0620,0.0045,0.0049,0.00233,0.00073,0.00060,26.44,28.00,27.07,1573.0913,0.0984,26.1305,8.2872,6.6793,1102100,1515652,0.5854,0.0133,1942.4,1573.0913,21.78,0,0,0,0,0,0
8000,8144,1945,44374,85266,75812,40652,240,11109,1529,1,247976,2432451,28531.945,12368.073,0.2868,7923.214,0.038,0.891,0.038,0.033,0.515,0.363,862,0.0837,0.6516,0.061,17.7,39.8,63.3,32.85,2.59,8.92,0.25,21.10,6.47,1.208,0.223,0.230,0.239,7.557,0.290,0.0022,82,428,579,8875,106,3,0.517,4372,643,1329,6172,711,822,6611,9.25,16.10,18600,19.9681,66713,18128,360638,2345.5,-0.0,691446,10.705,2624442.254,2.31e-15,0.00089,7.77,27450,17.298,1.813,15.229,0.256,17.299,3098,1499,3547,0.2144,0.927,1.159,1.629,1.190,0.906,1.351,8878.637,10644.563,11556.440,8774.963,16123.756,1973.455,416.752,2054.651,0.527,0.516,0.502,0.404,0.495,0.504,35714,26489,0.6000,0.1182,0.2421,0.9997,0.0434,0.0612,0.5578,0.8191,0.8703,0.1523,0.0300,0.0230,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,4955,0.9964,0.5880,0.6869,0.9981,0.0434,0.0612,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4967,5.2772,5.2914,0.0426,0.0297,0.0269,0.088,0.035,0.030,0.049,988,0.0726,0.0031,0.0049,0.00237,0.00090,0.00068,24.21,26.84,26.92,1400.6259,0.0787,25.3322,6.0166,4.6885,1104733,1514241,1.0467,0.1013,2164.1,1400.6259,16.84,0,0,0,0,0,0
9000,10192,2329,60259,142167,130005,81510,398,13570,2837,2,368679,3218944,41590.509,18439.858,0.2858,11854.553,0.044,0.876,0.042,0.038,0.548,0.339,1144,0.0757,0.6623,0.067,16.2,40.1,63.9,34.45,2.13,8.22,0.36,23.74,6.58,1.164,0.205,0.195,0.205,7.323,0.288,0.0022,75,352,562,10316,60,6,0.777,5115,60,1152,8980,283,1482,8427,6.25,12.97,19375,21.8418,66706,15738,341255,3580.1,-0.0,710380,11.566,2624442.254,2.22e-14,0.00249,30.68,43776,24.940,2.070,22.465,0.406,24.941,3268,2442,4482,0.2762,0.906,1.119,1.475,1.176,0.929,1.284,11990.312,16515.931,17480.264,11895.559,24069.239,2284.577,721.256,3579.472,0.575,0.531,0.532,0.593,0.546,0.579,35331,35181,0.5670,0.2655,0.2646,0.9996,0.0413,0.0476,0.5568,0.8020,0.7996,0.1482,0.0111,0.0223,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,5654,0.9982,0.6064,0.7086,0.9983,0.0413,0.0476,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4400,5.0006,5.1866,0.0430,0.0478,0.0407,0.108,0.041,0.045,0.074,967,0.0752,0.0026,0.0043,0.00260,0.00097,0.00083,25.63,28.70,28.50,1599.8886,0.0798,36.4628,5.5924,5.9740,1105881,1511794,1.9102,0.1818,2173.2,1599.8886,18.95,0,0,0,0,0,0
10000,8240,2226,63527,143174,130825,78932,715,14247,2376,1,326254,2992184,42983.430,18389.486,0.2767,12747.158,0.075,0.817,0.060,0.047,0.538,0.343,1455,0.0959,0.6657,0.064,15.7,38.4,60.8,31.42,2.04,8.84,0.12,20.43,6.29,1.244,0.236,0.230,0.244,7.669,0.304,0.0023,71,321,619,11759,50,8,0.282,4632,85,1954,6201,318,1261,6661,8.75,15.68,21621,22.1792,66711,13643,317711,2514.6,0.0,727505,11.842,2624518.849,3.47e-15,0.00816,11.37,47664,23.173,1.816,21.039,0.317,23.215,3297,1684,3259,0.2356,0.938,1.157,1.864,1.229,0.938,1.418,13305.047,18729.135,14548.603,13189.895,27992.090,2289.018,1004.218,2349.092,0.558,0.494,0.542,0.457,0.534,0.602,29224,40150,0.6374,0.1818,0.2365,0.9992,0.0330,0.0489,0.5885,0.8304,0.8889,0.1318,0.0137,0.0182,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,7918,0.9971,0.6213,0.7464,0.9978,0.0330,0.0489,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5623,5.2330,5.4556,0.0454,0.0194,0.0176,0.025,0.020,0.037,0.021,987,0.0812,0.0026,0.0030,0.00262,0.00108,0.00108,26.11,27.09,26.78,1602.7297,0.0714,41.7144,5.4867,6.3554,1107694,1511295,2.3827,0.1884,2188.7,1602.7297,19.36,103,40,0,100,91,0
