step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown
1000,16861,9186,166052,850664,744651,676591,8021,63653,21621,1,1765331,20619057,192791.526,115728.632,0.3963,72008.467,0.040,0.871,0.043,0.046,0.684,0.257,4300,0.1100,0.6940,0.101,12.6,33.0,83.2,26.28,2.07,6.25,0.20,17.76,5.96,1.673,0.184,0.068,0.102,11.832,0.476,0.0021,163,526,1679,93844,150,0,0.000,9538,4851,4607,7403,1173,5344,10344,1.25,5.54,9143,34.8930,66713,5520,533828,3586.3,-0.0,471705,56.660,2624511.977,8.69e-15,0.00093,30.00,247282,126.332,1.805,121.965,2.562,126.333,13103,1490,2268,0.1141,1.000,1.977,2.000,1.740,0.991,1.738,41354.292,13413.076,187747.190,41510.031,35542.773,32356.837,2881.543,8481.785,0.694,0.768,0.575,0.845,0.716,0.672,2574,61313,0.6448,0.6160,0.5392,0.9992,0.0261,0.0485,0.7400,1.3049,0.9279,0.0947,0.0157,0.0302,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,1970,0.9999,0.9727,0.9217,0.9979,0.0261,0.0485,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.8205,5.7451,4.9696,0.0695,0.0245,0.0208,0.012,0.047,0.029,0.023,8633,0.1643,0.0067,0.0075,0.00224,0.00127,0.00138,23.00,27.86,27.70,165.6322,0.1819,76.5726,27.7417,28.9187,1083508,1525769,0.6799,0.0067,1643.0,165.6322,21.62,0,0,0,0,0,0
2000,6091,2470,33548,61497,51268,27163,786,17810,2170,0,187394,3596073,20927.332,11347.991,0.4146,6492.686,0.023,0.910,0.029,0.038,0.566,0.344,538,0.1106,0.6732,0.089,22.8,34.0,69.3,32.85,1.89,7.69,0.46,22.82,6.70,1.280,0.212,0.061,0.080,10.613,0.445,0.0027,155,1009,635,9148,69,0,0.000,2740,671,1720,3700,196,768,5127,4.75,11.77,11605,12.9539,66815,9045,493043,1263.1,-0.0,529451,16.653,2624511.977,1.88e-14,0.00071,25.34,18672,19.642,1.765,17.721,0.156,19.642,1942,2317,1832,0.4239,0.997,1.026,1.999,1.601,0.990,1.307,9594.415,5261.564,10009.322,9535.685,7875.011,3985.670,269.629,600.006,0.582,0.632,0.435,0.456,0.422,0.471,9751,21354,0.6534,0.5522,0.4741,0.9991,0.0598,0.0835,0.6910,1.3359,0.9159,0.1604,0.0049,0.0127,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,367,0.9998,0.9859,0.8520,0.9961,0.0598,0.0835,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1300,6.0430,5.5854,0.0524,0.0396,0.0361,0.059,0.141,0.072,0.104,2617,0.1231,0.0075,0.0067,0.00251,0.00082,0.00093,26.76,26.72,26.96,225.2169,0.0666,17.6167,10.3098,6.3432,1094716,1524764,1.4422,0.0568,2914.7,225.2169,26.00,0,0,0,0,0,0
3000,8721,2855,41094,84522,76740,42558,870,11679,1005,1,149425,2772737,28794.850,9731.356,0.2720,7190.690,0.050,0.882,0.021,0.046,0.577,0.332,496,0.0598,0.6493,0.110,22.1,36.2,72.0,32.90,1.66,8.45,0.31,22.48,6.50,1.367,0.205,0.111,0.134,9.504,0.364,0.0023,93,420,645,5202,107,0,0.000,4086,18,1294,7409,352,1655,6714,3.75,10.23,15430,18.5066,66740,10193,462530,1875.6,-0.0,559945,10.911,2624511.977,1.42e-14,0.00159,14.43,22784,17.230,1.776,15.100,0.354,17.230,3929,2376,2416,0.3314,0.985,1.095,1.999,1.596,0.983,1.374,11701.332,8731.263,11338.381,11573.713,13073.445,1392.201,333.509,814.956,0.561,0.629,0.529,0.468,0.480,0.564,13915,23767,0.7248,0.4844,0.4500,0.9991,0.0560,0.0708,0.6876,1.2262,0.8897,0.0904,0.0145,0.0216,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,1116,0.9995,0.8889,0.7635,0.9983,0.0560,0.0708,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0275,5.8936,5.5352,0.0474,0.0330,0.0305,0.033,0.088,0.033,0.074,896,0.0912,0.0075,0.0041,0.00208,0.00093,0.00118,22.05,26.99,27.74,771.1673,0.0568,25.0408,4.1190,6.7917,1094998,1522634,1.9308,0.1093,3461.0,771.1673,22.38,0,0,0,0,0,0
4000,6589,3044,48518,108947,99634,59466,963,15831,1315,2,200427,3709997,36239.870,13720.012,0.2860,10137.390,0.045,0.883,0.028,0.043,0.598,0.317,835,0.0943,0.6394,0.105,24.5,41.4,83.6,33.68,2.39,8.97,0.31,22.02,6.64,1.401,0.203,0.182,0.215,11.947,0.456,0.0024,104,439,880,7133,194,0,0.000,3486,41,1388,5160,144,1192,5253,4.50,10.16,14656,17.2224,66782,10558,434086,1504.9,0.0,591892,14.525,2624511.977,3.73e-15,0.00123,37.93,32459,22.695,1.760,20.704,0.231,22.696,3061,1593,1935,0.2820,1.000,1.157,1.998,1.627,0.991,1.380,11962.452,11937.114,17054.285,11833.262,17489.713,2087.888,331.068,1163.666,0.623,0.618,0.548,0.595,0.464,0.575,14580,30227,0.7513,0.5046,0.4154,0.9994,0.0453,0.0721,0.6242,1.3132,0.9426,0.1303,0.0068,0.0188,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,1888,0.9989,0.9829,0.8287,0.9982,0.0453,0.0721,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.9388,6.0913,5.7174,0.0542,0.0322,0.0299,0.043,0.094,0.048,0.074,1387,0.0857,0.0055,0.0027,0.00222,0.00093,0.00118,26.63,26.20,27.08,1611.8104,0.0661,29.7860,6.3559,8.1690,1096813,1521585,2.0019,0.1264,3187.7,1611.8104,25.42,0,0,0,0,0,0
5000,9350,3371,42612,90514,82921,46876,1026,11987,860,6,143679,3143943,31924.988,10372.006,0.2878,7787.759,0.043,0.904,0.026,0.026,0.605,0.315,604,0.0527,0.6270,0.094,24.0,42.7,83.4,34.22,1.88,9.09,0.44,22.80,6.72,1.394,0.195,0.152,0.179,10.692,0.353,0.0022,92,433,1011,5408,330,13,0.508,4681,107,1772,7471,292,1975,7083,4.00,9.50,17792,19.7083,66774,12913,411075,2408.7,-0.0,615993,11.498,2624511.977,7.27e-15,0.00049,12.68,24359,18.779,1.772,16.586,0.421,18.779,4130,1933,3287,0.2516,1.000,1.166,1.998,1.575,0.988,1.405,11072.656,11219.785,12689.004,10929.898,16093.845,1490.091,308.901,785.255,0.611,0.642,0.562,0.520,0.481,0.558,18272,24480,0.6508,0.4048,0.3787,0.9991,0.0497,0.0821,0.6593,1.2930,0.9030,0.1032,0.0065,0.0177,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,1771,0.9996,0.9737,0.7933,0.9981,0.0498,0.0822,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.9282,6.0681,5.5244,0.0514,0.0472,0.0370,0.066,0.112,0.054,0.109,747,0.0674,0.0055,0.0026,0.00223,0.00087,0.00111,25.13,26.88,27.83,1435.1561,0.0599,27.5486,4.8347,6.6629,1097614,1518611,1.3991,0.0915,3158.1,1435.1561,23.03,0,0,0,0,0,0
6000,10125,4210,50129,109278,99107,58325,824,14891,1350,7,238957,3758472,38306.381,15597.558,0.3094,10976.503,0.061,0.868,0.025,0.045,0.598,0.318,753,0.0611,0.6158,0.076,23.0,48.2,96.4,35.92,2.54,8.79,0.64,23.94,6.79,1.467,0.178,0.191,0.225,11.508,0.398,0.0022,100,455,1222,7116,248,14,0.347,5626,296,1437,8392,1219,1862,7044,3.50,9.46,17601,21.4748,66784,13891,386078,2096.3,-0.0,644798,14.551,2624511.977,4.79e-15,0.00013,23.20,33889,24.900,1.749,22.521,0.629,24.900,5326,1654,3145,0.1979,1.000,1.496,1.999,1.633,0.985,1.437,11215.928,12964.941,18714.977,11031.778,19536.129,2560.315,330.389,1730.351,0.631,0.599,0.554,0.547,0.481,0.567,21512,29923,0.5631,0.2906,0.3205,0.9990,0.0486,0.0771,0.5990,1.1996,0.8440,0.1193,0.0063,0.0124,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,2125,0.9995,0.8793,0.7280,0.9982,0.0488,0.0772,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.8087,6.0332,5.6459,0.0511,0.0678,0.0578,0.086,0.161,0.094,0.068,1058,0.0713,0.0058,0.0036,0.00208,0.00080,0.00098,22.68,27.20,27.54,1398.4389,0.0776,31.1549,7.0281,7.5226,1097877,1517125,0.7325,0.0290,3180.1,1398.4389,19.40,0,0,0,0,0,0
7000,9626,3565,61077,177098,167407,114810,1211,14619,1332,8,241862,3986884,51374.841,20254.163,0.2934,15819.027,0.082,0.853,0.031,0.034,0.607,0.314,650,0.0631,0.6098,0.074,22.2,44.6,86.0,35.43,2.03,8.99,0.45,23.96,6.73,1.358,0.194,0.154,0.185,10.601,0.374,0.0020,89,439,1265,7455,334,16,0.599,5032,901,1216,7509,1284,1662,6680,4.25,10.23,13574,20.2498,66855,10281,352531,4105.2,-0.0,679257,15.481,2624511.977,1.77e-16,0.00089,24.47,46691,26.278,1.754,24.055,0.469,26.279,4975,1819,2832,0.2455,0.977,1.132,1.994,1.513,0.978,1.330,14670.900,19052.539,23945.813,14547.669,28700.385,2949.589,323.744,1161.803,0.631,0.616,0.564,0.651,0.597,0.685,16975,39867,0.5694,0.3428,0.3103,0.9990,0.0481,0.0676,0.6142,1.1843,0.9139,0.0937,0.0058,0.0129,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,4540,0.9991,0.9104,0.7958,0.9986,0.0481,0.0676,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.9490,6.0252,5.7346,0.0487,0.0457,0.0360,0.039,0.124,0.052,0.087,1210,0.0689,0.0030,0.0025,0.00210,0.00137,0.00134,26.31,26.63,27.63,1234.6051,0.0832,43.7275,8.6406,6.8408,1100006,1516129,0.5651,0.0143,3342.9,1234.6051,21.78,0,0,0,0,0,0
8000,10520,3121,45562,106906,98436,60479,865,13090,1139,7,207570,3229577,35363.477,14066.033,0.2889,10318.619,0.047,0.900,0.025,0.028,0.580,0.331,723,0.0560,0.6209,0.083,18.8,41.4,78.8,34.82,1.43,7.44,0.69,25.26,6.67,1.338,0.165,0.122,0.145,9.459,0.353,0.0022,99,475,1053,5790,202,19,0.600,4882,572,940,9008,698,1086,8736,4.00,10.52,13424,18.1995,66756,11189,329706,3277.6,-0.0,705951,12.541,2624511.977,1.92e-14,0.00118,7.77,34658,22.097,1.751,19.789,0.557,22.097,3772,2652,4096,0.2884,0.951,1.096,1.999,1.543,0.960,1.394,10094.581,12714.967,17016.646,9942.041,18723.408,2162.764,257.290,1327.359,0.596,0.592,0.554,0.605,0.502,0.585,18200,27065,0.5869,0.2624,0.3061,0.9993,0.0537,0.0615,0.6188,1.0087,0.8823,0.0880,0.0050,0.0141,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,2330,0.9990,0.8311,0.7830,0.9983,0.0537,0.0615,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.8999,5.8575,6.0798,0.0473,0.0625,0.0573,0.084,0.197,0.084,0.116,1037,0.0636,0.0046,0.0049,0.00226,0.00103,0.00097,24.18,28.60,28.13,1237.5477,0.0696,29.0889,6.2894,6.2514,1102745,1513390,1.0085,0.1072,3473.8,1237.5477,16.84,0,0,0,0,0,0
9000,8304,2903,50426,114093,104747,62641,1026,13210,2105,4,227522,3351030,34868.487,15164.087,0.3104,10750.048,0.042,0.911,0.026,0.021,0.578,0.334,761,0.0735,0.6471,0.094,18.9,38.2,79.4,33.45,1.67,7.80,0.39,23.59,6.59,1.387,0.179,0.153,0.177,10.096,0.362,0.0022,78,403,905,5977,203,17,0.544,4250,29,1242,7033,322,1223,6759,3.75,11.35,15278,18.2288,66748,12310,309076,2440.3,-0.0,725809,11.831,2624511.977,1.15e-14,0.00217,30.68,36152,21.450,1.749,19.263,0.438,21.450,3219,1837,3248,0.2383,0.975,1.193,2.000,1.573,0.968,1.440,9916.893,14493.941,14627.472,9819.861,21171.201,1937.991,314.687,2161.361,0.597,0.589,0.557,0.531,0.489,0.596,16873,34773,0.6160,0.2172,0.3090,0.9990,0.0370,0.0523,0.6075,1.1272,0.9542,0.0985,0.0067,0.0130,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,1699,0.9996,0.8858,0.8707,0.9978,0.0370,0.0523,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.9861,5.8578,6.0682,0.0502,0.0436,0.0402,0.030,0.127,0.036,0.107,851,0.0709,0.0037,0.0032,0.00245,0.00109,0.00095,25.92,27.85,27.55,1262.1782,0.0691,31.4759,5.0571,6.7737,1104810,1512821,1.8489,0.1950,3563.5,1262.1782,18.95,0,0,0,0,0,0
10000,8811,2942,47294,105784,96782,57565,925,11842,1644,5,186358,3006083,32526.762,13473.005,0.3154,9799.958,0.063,0.882,0.027,0.029,0.582,0.329,513,0.0618,0.6427,0.095,16.0,41.6,77.3,33.21,1.58,8.19,0.49,22.95,6.55,1.393,0.181,0.174,0.201,9.817,0.336,0.0022,75,393,894,4934,201,16,0.544,4601,87,1383,7341,389,1234,7188,4.00,11.24,20327,20.7459,66750,13074,298154,3029.7,-0.0,737322,10.988,2624588.177,1.94e-14,0.00115,11.37,33748,19.995,1.778,17.753,0.464,20.038,3709,1806,3296,0.2349,0.987,1.186,2.000,1.577,0.976,1.413,10573.161,13635.242,11492.505,10488.344,20345.871,1556.012,220.927,1896.107,0.604,0.603,0.553,0.488,0.526,0.584,20718,31470,0.6814,0.0952,0.2588,0.9996,0.0368,0.0493,0.6285,1.1443,0.8692,0.0975,0.0011,0.0081,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,1250,0.9989,0.9104,0.8294,0.9975,0.0368,0.0493,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.8728,5.8783,6.0551,0.0509,0.0532,0.0473,0.060,0.145,0.045,0.131,776,0.0763,0.0032,0.0037,0.00225,0.00089,0.00096,26.37,27.41,28.11,1375.3088,0.0582,31.3163,4.6684,6.3198,1106083,1511232,2.2396,0.2002,3535.0,1375.3088,19.36,103,48,0,100,96,0
