step,measure,value,count
10000,band_bodies,0,45106
10000,band_hunger,0,72
10000,band_food,0,179
10000,band_bodies,1,56393
10000,band_hunger,1,83
10000,band_food,1,256
10000,band_bodies,2,68781
10000,band_hunger,2,126
10000,band_food,2,284
10000,band_bodies,3,83838
10000,band_hunger,3,135
10000,band_food,3,226
10000,band_bodies,4,101202
10000,band_hunger,4,208
10000,band_food,4,263
10000,band_bodies,5,120141
10000,band_hunger,5,214
10000,band_food,5,257
10000,band_bodies,6,142898
10000,band_hunger,6,236
10000,band_food,6,283
10000,band_bodies,7,163871
10000,band_hunger,7,323
10000,band_food,7,348
10000,band_bodies,8,184386
10000,band_hunger,8,353
10000,band_food,8,237
10000,band_bodies,9,202380
10000,band_hunger,9,404
10000,band_food,9,299
10000,band_bodies,10,220359
10000,band_hunger,10,466
10000,band_food,10,337
10000,band_bodies,11,239805
10000,band_hunger,11,511
10000,band_food,11,416
10000,band_bodies,12,253452
10000,band_hunger,12,628
10000,band_food,12,358
10000,band_bodies,13,266416
10000,band_hunger,13,627
10000,band_food,13,293
10000,band_bodies,14,277131
10000,band_hunger,14,708
10000,band_food,14,457
10000,band_bodies,15,283411
10000,band_hunger,15,756
10000,band_food,15,359
10000,band_bodies,16,287460
10000,band_hunger,16,806
10000,band_food,16,223
10000,band_bodies,17,289693
10000,band_hunger,17,878
10000,band_food,17,498
10000,band_bodies,18,290543
10000,band_hunger,18,847
10000,band_food,18,460
10000,band_bodies,19,292907
10000,band_hunger,19,885
10000,band_food,19,359
10000,band_bodies,20,293034
10000,band_hunger,20,936
10000,band_food,20,432
10000,band_bodies,21,291673
10000,band_hunger,21,878
10000,band_food,21,412
10000,band_bodies,22,291226
10000,band_hunger,22,898
10000,band_food,22,387
10000,band_bodies,23,290827
10000,band_hunger,23,903
10000,band_food,23,283
10000,band_bodies,24,286386
10000,band_hunger,24,924
10000,band_food,24,315
10000,band_bodies,25,284065
10000,band_hunger,25,933
10000,band_food,25,232
10000,band_bodies,26,281713
10000,band_hunger,26,922
10000,band_food,26,281
10000,band_bodies,27,277567
10000,band_hunger,27,894
10000,band_food,27,299
10000,band_bodies,28,275404
10000,band_hunger,28,872
10000,band_food,28,227
10000,band_bodies,29,275881
10000,band_hunger,29,881
10000,band_food,29,169
10000,band_bodies,30,271442
10000,band_hunger,30,903
10000,band_food,30,225
10000,band_bodies,31,268634
10000,band_hunger,31,845
10000,band_food,31,191
10000,band_bodies,32,266987
10000,band_hunger,32,818
10000,band_food,32,166
10000,band_bodies,33,265406
10000,band_hunger,33,828
10000,band_food,33,249
10000,band_bodies,34,261857
10000,band_hunger,34,829
10000,band_food,34,130
10000,band_bodies,35,257668
10000,band_hunger,35,817
10000,band_food,35,130
10000,band_bodies,36,251795
10000,band_hunger,36,804
10000,band_food,36,230
10000,band_bodies,37,245453
10000,band_hunger,37,836
10000,band_food,37,258
10000,band_bodies,38,235731
10000,band_hunger,38,798
10000,band_food,38,236
10000,band_bodies,39,223962
10000,band_hunger,39,783
10000,band_food,39,123
10000,band_bodies,40,207225
10000,band_hunger,40,723
10000,band_food,40,207
10000,band_bodies,41,188080
10000,band_hunger,41,656
10000,band_food,41,265
10000,band_bodies,42,169240
10000,band_hunger,42,610
10000,band_food,42,199
10000,band_bodies,43,147881
10000,band_hunger,43,539
10000,band_food,43,215
10000,band_bodies,44,129634
10000,band_hunger,44,421
10000,band_food,44,310
10000,band_bodies,45,112918
10000,band_hunger,45,366
10000,band_food,45,227
10000,band_bodies,46,97354
10000,band_hunger,46,296
10000,band_food,46,260
10000,band_bodies,47,83526
10000,band_hunger,47,228
10000,band_food,47,337
10000,band_bodies,48,71917
10000,band_hunger,48,206
10000,band_food,48,290
10000,band_bodies,49,61577
10000,band_hunger,49,161
10000,band_food,49,231
10000,band_bodies,50,52780
10000,band_hunger,50,144
10000,band_food,50,259
10000,band_bodies,51,46687
10000,band_hunger,51,115
10000,band_food,51,361
10000,band_bodies,52,39696
10000,band_hunger,52,96
10000,band_food,52,226
10000,band_bodies,53,34565
10000,band_hunger,53,76
10000,band_food,53,295
10000,band_bodies,54,30329
10000,band_hunger,54,60
10000,band_food,54,280
10000,band_bodies,55,27798
10000,band_hunger,55,68
10000,band_food,55,247
10000,band_bodies,56,25262
10000,band_hunger,56,57
10000,band_food,56,220
10000,band_bodies,57,23993
10000,band_hunger,57,47
10000,band_food,57,230
10000,band_bodies,58,22064
10000,band_hunger,58,46
10000,band_food,58,153
10000,band_bodies,59,20715
10000,band_hunger,59,40
10000,band_food,59,167
10000,band_bodies,60,19048
10000,band_hunger,60,37
10000,band_food,60,118
10000,band_bodies,61,18249
10000,band_hunger,61,43
10000,band_food,61,160
10000,band_bodies,62,17440
10000,band_hunger,62,32
10000,band_food,62,256
10000,band_bodies,63,15419
10000,band_hunger,63,41
10000,band_food,63,190
10000,band_bodies,64,14464
10000,band_hunger,64,36
10000,band_food,64,210
10000,band_bodies,65,13704
10000,band_hunger,65,39
10000,band_food,65,225
10000,band_bodies,66,12520
10000,band_hunger,66,32
10000,band_food,66,265
10000,band_bodies,67,12316
10000,band_hunger,67,23
10000,band_food,67,158
10000,band_bodies,68,11155
10000,band_hunger,68,34
10000,band_food,68,229
10000,band_bodies,69,10626
10000,band_hunger,69,17
10000,band_food,69,227
10000,band_bodies,70,10535
10000,band_hunger,70,22
10000,band_food,70,233
10000,band_bodies,71,10449
10000,band_hunger,71,20
10000,band_food,71,196
10000,band_bodies,72,10246
10000,band_hunger,72,15
10000,band_food,72,137
10000,band_bodies,73,9924
10000,band_hunger,73,19
10000,band_food,73,142
10000,band_bodies,74,9540
10000,band_hunger,74,16
10000,band_food,74,237
10000,band_bodies,75,8963
10000,band_hunger,75,14
10000,band_food,75,181
10000,band_bodies,76,9337
10000,band_hunger,76,19
10000,band_food,76,165
10000,band_bodies,77,9205
10000,band_hunger,77,19
10000,band_food,77,147
10000,band_bodies,78,9325
10000,band_hunger,78,14
10000,band_food,78,176
10000,band_bodies,79,9838
10000,band_hunger,79,9
10000,band_food,79,166
10000,band_bodies,80,9662
10000,band_hunger,80,5
10000,band_food,80,269
10000,band_bodies,81,9872
10000,band_hunger,81,15
10000,band_food,81,178
10000,band_bodies,82,9512
10000,band_hunger,82,12
10000,band_food,82,126
10000,band_bodies,83,9537
10000,band_hunger,83,16
10000,band_food,83,174
10000,band_bodies,84,8989
10000,band_hunger,84,14
10000,band_food,84,243
10000,band_bodies,85,8688
10000,band_hunger,85,7
10000,band_food,85,161
10000,band_bodies,86,8093
10000,band_hunger,86,14
10000,band_food,86,175
10000,band_bodies,87,7918
10000,band_hunger,87,19
10000,band_food,87,152
10000,band_bodies,88,7708
10000,band_hunger,88,10
10000,band_food,88,107
10000,band_bodies,89,7516
10000,band_hunger,89,14
10000,band_food,89,104
10000,band_bodies,90,7551
10000,band_hunger,90,8
10000,band_food,90,167
10000,band_bodies,91,7665
10000,band_hunger,91,18
10000,band_food,91,182
10000,band_bodies,92,7490
10000,band_hunger,92,9
10000,band_food,92,120
10000,band_bodies,93,7403
10000,band_hunger,93,9
10000,band_food,93,140
10000,band_bodies,94,7598
10000,band_hunger,94,14
10000,band_food,94,152
10000,band_bodies,95,8058
10000,band_hunger,95,16
10000,band_food,95,165
10000,band_bodies,96,8305
10000,band_hunger,96,9
10000,band_food,96,177
10000,band_bodies,97,8264
10000,band_hunger,97,7
10000,band_food,97,153
10000,band_bodies,98,8442
10000,band_hunger,98,11
10000,band_food,98,187
10000,band_bodies,99,8916
10000,band_hunger,99,13
10000,band_food,99,137
10000,band_bodies,100,8898
10000,band_hunger,100,13
10000,band_food,100,138
10000,band_bodies,101,8945
10000,band_hunger,101,7
10000,band_food,101,157
10000,band_bodies,102,8721
10000,band_hunger,102,11
10000,band_food,102,208
10000,band_bodies,103,8704
10000,band_hunger,103,22
10000,band_food,103,178
10000,band_bodies,104,8439
10000,band_hunger,104,12
10000,band_food,104,216
10000,band_bodies,105,8302
10000,band_hunger,105,13
10000,band_food,105,180
10000,band_bodies,106,8288
10000,band_hunger,106,8
10000,band_food,106,195
10000,band_bodies,107,7959
10000,band_hunger,107,11
10000,band_food,107,134
10000,band_bodies,108,7785
10000,band_hunger,108,10
10000,band_food,108,228
10000,band_bodies,109,7907
10000,band_hunger,109,9
10000,band_food,109,192
10000,band_bodies,110,7767
10000,band_hunger,110,15
10000,band_food,110,155
10000,band_bodies,111,7704
10000,band_hunger,111,6
10000,band_food,111,222
10000,band_bodies,112,7892
10000,band_hunger,112,17
10000,band_food,112,109
10000,band_bodies,113,7776
10000,band_hunger,113,17
10000,band_food,113,91
10000,band_bodies,114,8337
10000,band_hunger,114,4
10000,band_food,114,140
10000,band_bodies,115,8004
10000,band_hunger,115,17
10000,band_food,115,209
10000,band_bodies,116,8503
10000,band_hunger,116,18
10000,band_food,116,127
10000,band_bodies,117,9089
10000,band_hunger,117,15
10000,band_food,117,175
10000,band_bodies,118,9682
10000,band_hunger,118,11
10000,band_food,118,182
10000,band_bodies,119,10425
10000,band_hunger,119,24
10000,band_food,119,164
10000,band_bodies,120,11226
10000,band_hunger,120,21
10000,band_food,120,147
10000,band_bodies,121,11826
10000,band_hunger,121,23
10000,band_food,121,161
10000,band_bodies,122,14126
10000,band_hunger,122,14
10000,band_food,122,138
10000,band_bodies,123,16266
10000,band_hunger,123,33
10000,band_food,123,130
10000,band_bodies,124,18862
10000,band_hunger,124,26
10000,band_food,124,121
10000,band_bodies,125,23545
10000,band_hunger,125,34
10000,band_food,125,184
10000,band_bodies,126,29269
10000,band_hunger,126,38
10000,band_food,126,163
10000,band_bodies,127,35862
10000,band_hunger,127,61
10000,band_food,127,217
20000,band_bodies,0,4865
20000,band_hunger,0,8
20000,band_food,0,461
20000,band_bodies,1,6457
20000,band_hunger,1,19
20000,band_food,1,487
20000,band_bodies,2,8115
20000,band_hunger,2,12
20000,band_food,2,311
20000,band_bodies,3,10799
20000,band_hunger,3,11
20000,band_food,3,266
20000,band_bodies,4,13450
20000,band_hunger,4,20
20000,band_food,4,311
20000,band_bodies,5,15868
20000,band_hunger,5,23
20000,band_food,5,383
20000,band_bodies,6,18560
20000,band_hunger,6,30
20000,band_food,6,573
20000,band_bodies,7,21675
20000,band_hunger,7,18
20000,band_food,7,457
20000,band_bodies,8,25483
20000,band_hunger,8,34
20000,band_food,8,565
20000,band_bodies,9,29300
20000,band_hunger,9,33
20000,band_food,9,605
20000,band_bodies,10,34213
20000,band_hunger,10,52
20000,band_food,10,528
20000,band_bodies,11,40158
20000,band_hunger,11,62
20000,band_food,11,664
20000,band_bodies,12,45114
20000,band_hunger,12,72
20000,band_food,12,476
20000,band_bodies,13,49643
20000,band_hunger,13,70
20000,band_food,13,574
20000,band_bodies,14,54329
20000,band_hunger,14,97
20000,band_food,14,525
20000,band_bodies,15,60994
20000,band_hunger,15,111
20000,band_food,15,598
20000,band_bodies,16,66900
20000,band_hunger,16,123
20000,band_food,16,464
20000,band_bodies,17,71601
20000,band_hunger,17,125
20000,band_food,17,529
20000,band_bodies,18,77762
20000,band_hunger,18,172
20000,band_food,18,585
20000,band_bodies,19,82993
20000,band_hunger,19,144
20000,band_food,19,473
20000,band_bodies,20,90139
20000,band_hunger,20,145
20000,band_food,20,315
20000,band_bodies,21,95891
20000,band_hunger,21,193
20000,band_food,21,357
20000,band_bodies,22,102074
20000,band_hunger,22,215
20000,band_food,22,281
20000,band_bodies,23,108704
20000,band_hunger,23,229
20000,band_food,23,341
20000,band_bodies,24,112514
20000,band_hunger,24,257
20000,band_food,24,361
20000,band_bodies,25,120217
20000,band_hunger,25,263
20000,band_food,25,273
20000,band_bodies,26,124518
20000,band_hunger,26,282
20000,band_food,26,259
20000,band_bodies,27,131078
20000,band_hunger,27,291
20000,band_food,27,304
20000,band_bodies,28,136973
20000,band_hunger,28,342
20000,band_food,28,277
20000,band_bodies,29,141777
20000,band_hunger,29,350
20000,band_food,29,244
20000,band_bodies,30,144074
20000,band_hunger,30,376
20000,band_food,30,311
20000,band_bodies,31,146372
20000,band_hunger,31,398
20000,band_food,31,208
20000,band_bodies,32,145338
20000,band_hunger,32,411
20000,band_food,32,215
20000,band_bodies,33,142289
20000,band_hunger,33,404
20000,band_food,33,218
20000,band_bodies,34,137143
20000,band_hunger,34,437
20000,band_food,34,300
20000,band_bodies,35,133706
20000,band_hunger,35,417
20000,band_food,35,281
20000,band_bodies,36,127385
20000,band_hunger,36,404
20000,band_food,36,304
20000,band_bodies,37,122168
20000,band_hunger,37,388
20000,band_food,37,395
20000,band_bodies,38,115470
20000,band_hunger,38,440
20000,band_food,38,323
20000,band_bodies,39,106388
20000,band_hunger,39,346
20000,band_food,39,215
20000,band_bodies,40,96862
20000,band_hunger,40,395
20000,band_food,40,194
20000,band_bodies,41,87155
20000,band_hunger,41,370
20000,band_food,41,225
20000,band_bodies,42,77806
20000,band_hunger,42,275
20000,band_food,42,249
20000,band_bodies,43,67779
20000,band_hunger,43,253
20000,band_food,43,221
20000,band_bodies,44,58969
20000,band_hunger,44,206
20000,band_food,44,261
20000,band_bodies,45,49925
20000,band_hunger,45,176
20000,band_food,45,292
20000,band_bodies,46,41737
20000,band_hunger,46,170
20000,band_food,46,205
20000,band_bodies,47,34975
20000,band_hunger,47,135
20000,band_food,47,201
20000,band_bodies,48,29452
20000,band_hunger,48,92
20000,band_food,48,280
20000,band_bodies,49,24317
20000,band_hunger,49,64
20000,band_food,49,285
20000,band_bodies,50,20135
20000,band_hunger,50,69
20000,band_food,50,298
20000,band_bodies,51,17320
20000,band_hunger,51,55
20000,band_food,51,244
20000,band_bodies,52,15014
20000,band_hunger,52,41
20000,band_food,52,227
20000,band_bodies,53,13495
20000,band_hunger,53,53
20000,band_food,53,241
20000,band_bodies,54,11511
20000,band_hunger,54,29
20000,band_food,54,297
20000,band_bodies,55,10308
20000,band_hunger,55,17
20000,band_food,55,225
20000,band_bodies,56,8793
20000,band_hunger,56,18
20000,band_food,56,246
20000,band_bodies,57,7211
20000,band_hunger,57,26
20000,band_food,57,305
20000,band_bodies,58,6155
20000,band_hunger,58,20
20000,band_food,58,273
20000,band_bodies,59,5542
20000,band_hunger,59,13
20000,band_food,59,232
20000,band_bodies,60,5023
20000,band_hunger,60,12
20000,band_food,60,251
20000,band_bodies,61,3921
20000,band_hunger,61,18
20000,band_food,61,189
20000,band_bodies,62,3385
20000,band_hunger,62,6
20000,band_food,62,170
20000,band_bodies,63,2959
20000,band_hunger,63,11
20000,band_food,63,196
20000,band_bodies,64,2475
20000,band_hunger,64,6
20000,band_food,64,323
20000,band_bodies,65,2035
20000,band_hunger,65,7
20000,band_food,65,274
20000,band_bodies,66,1700
20000,band_hunger,66,1
20000,band_food,66,141
20000,band_bodies,67,1563
20000,band_hunger,67,2
20000,band_food,67,209
20000,band_bodies,68,1403
20000,band_hunger,68,7
20000,band_food,68,169
20000,band_bodies,69,1168
20000,band_hunger,69,3
20000,band_food,69,241
20000,band_bodies,70,1086
20000,band_hunger,70,3
20000,band_food,70,265
20000,band_bodies,71,1060
20000,band_hunger,71,2
20000,band_food,71,348
20000,band_bodies,72,958
20000,band_hunger,72,3
20000,band_food,72,218
20000,band_bodies,73,862
20000,band_hunger,73,2
20000,band_food,73,222
20000,band_bodies,74,824
20000,band_hunger,74,2
20000,band_food,74,126
20000,band_bodies,75,704
20000,band_hunger,75,0
20000,band_food,75,212
20000,band_bodies,76,605
20000,band_hunger,76,0
20000,band_food,76,266
20000,band_bodies,77,528
20000,band_hunger,77,1
20000,band_food,77,172
20000,band_bodies,78,370
20000,band_hunger,78,1
20000,band_food,78,318
20000,band_bodies,79,217
20000,band_hunger,79,0
20000,band_food,79,327
20000,band_bodies,80,136
20000,band_hunger,80,0
20000,band_food,80,294
20000,band_bodies,81,59
20000,band_hunger,81,0
20000,band_food,81,306
20000,band_bodies,82,53
20000,band_hunger,82,0
20000,band_food,82,391
20000,band_bodies,83,62
20000,band_hunger,83,0
20000,band_food,83,364
20000,band_bodies,84,69
20000,band_hunger,84,0
20000,band_food,84,288
20000,band_bodies,85,46
20000,band_hunger,85,0
20000,band_food,85,381
20000,band_bodies,86,12
20000,band_hunger,86,0
20000,band_food,86,335
20000,band_bodies,87,0
20000,band_hunger,87,0
20000,band_food,87,239
20000,band_bodies,88,0
20000,band_hunger,88,0
20000,band_food,88,261
20000,band_bodies,89,0
20000,band_hunger,89,0
20000,band_food,89,313
20000,band_bodies,90,0
20000,band_hunger,90,0
20000,band_food,90,312
20000,band_bodies,91,0
20000,band_hunger,91,0
