run,kind,share,held,side,cells,bodies,born_size,hard,open_born,travel,wood,kills,land,surface,bottom,cold,seed
control,mixed / tooth / roams / land,0.14738298039970937,True,6,111111122221224422244442244442222222,16836,36.0,0.23675679664322716,0.45161290322580644,14.25,0.18313465416474597,0.4966752723537946,0.9594915656925636,0.0,0.04050843430743645,0.05203136136849608,9
control,mixed / no tooth / stays / shore,0.12466625230887747,False,4,2222222244444444,14241,25,0.07134643828426929,0.8,1.5,0.0019366440749942883,0.2570639104033749,0.5342321466189172,0.00035109893968120215,0.46541675444140157,0.06102099571659294,9
control,mixed / tooth / stays / land,0.08641110712316055,False,7,1110000122000022441002444110244411124441112444111,9871,36,0.3594297665822904,0.35294117647058826,4.25,0.07655894466219478,0.358393979425107,0.9695066355992301,0.0,0.030493364400769933,0.06858474318711377,9
control,mixed / no tooth / stays / bottom,0.08438892439137552,False,4,4444444442244224,9640,16.0,0.013259538147460425,1.125,1.5,5.26424492947948e-05,0.1998364970574943,0.024066390041493777,0.0,0.9759336099585062,0.006431535269709543,9
control,mixed / no tooth / roams / shore,0.07974053031960993,False,4,2222222244444444,9109,16,0.011195103149126136,1.0,15.25,0.0010872371755347814,0.42644858061728097,0.3562410802503019,0.01185640575255242,0.6319025139971457,0.05862333955428697,9
control,plant / no tooth / stays / shore,0.07137167018287185,False,4,4444444444444444,8153,31,0.07593843671148137,0.7586206896551724,0.0,0.002245348544762296,0.0763991112661244,0.4729547405862873,0.03520176622102294,0.49184349319268983,0.03740954249969337,9
control,plant / no tooth / roams / surface,0.0706888552344769,False,6,000022000044000004000004000044000044,8075,22,0.009346346186773415,1.1428571428571428,21.0,4.736742507501303e-06,0.16523143315275501,0.02563467492260062,0.9732507739938081,0.0011145510835913312,0.013622291021671827,9
control,plant / no tooth / stays / bottom,0.06827274080169478,False,4,4444444444444444,7799,16,0.02143996182870632,1.0,0.0,2.0743754270619634e-05,0.0838562096478199,0.017951019361456596,0.00012822156686754713,0.9819207590716759,0.0037184254391588664,9
control,mixed / no tooth / roams / bottom,0.05840694020116779,False,4,2222222244424444,6672,16.0,0.012316598155589427,1.0,14.25,2.1815666452763663e-05,0.37504299305083183,0.02802757793764988,0.0,0.9719724220623501,0.010641486810551559,9
control,plant / no tooth / stays / land,0.038544028433114774,False,9,444444444444444444444444444444444444444444444444444444444444444444444444444444444,4403,49,0.17834165526952553,0.4897959183673469,0.0,0.0014890547959856245,0.06069995475746396,0.9718373836020895,0.0004542357483533954,0.02770838064955712,0.051101521689756985,9
